,date,MCD stock,isPartial
1,2012-09-02,8.75,False
2,2012-09-03,0.0,False
3,2012-09-04,11.75,False
4,2012-09-05,14.25,False
5,2012-09-06,18.0,False
6,2012-09-07,17.75,False
7,2012-09-08,8.75,False
8,2012-09-09,8.75,False
9,2012-09-10,10.5,False
10,2012-09-11,18.5,False
11,2012-09-12,17.5,False
12,2012-09-13,25.0,False
13,2012-09-14,7.25,False
14,2012-09-15,17.0,False
15,2012-09-16,8.5,False
16,2012-09-17,14.0,False
17,2012-09-18,20.75,False
18,2012-09-19,16.25,False
19,2012-09-20,18.75,False
20,2012-09-21,17.25,False
21,2012-09-22,8.5,False
22,2012-09-23,0.0,False
23,2012-09-24,13.75,False
24,2012-09-25,20.75,False
25,2012-09-26,13.75,False
26,2012-09-27,7.0,False
27,2012-09-28,19.75,False
28,2012-09-29,12.75,False
29,2012-09-30,8.25,False
0,2012-10-01,13.76,False
1,2012-10-02,20.8,False
2,2012-10-03,17.6,False
3,2012-10-04,0.0,False
4,2012-10-05,28.8,False
5,2012-10-06,8.32,False
6,2012-10-07,0.0,False
7,2012-10-08,20.16,False
8,2012-10-09,6.72,False
9,2012-10-10,26.88,False
10,2012-10-11,10.24,False
11,2012-10-12,7.04,False
12,2012-10-13,8.32,False
13,2012-10-14,11.84,False
14,2012-10-15,13.120000000000001,False
15,2012-10-16,16.64,False
16,2012-10-17,23.36,False
17,2012-10-18,23.68,False
18,2012-10-19,28.16,False
19,2012-10-20,16.32,False
20,2012-10-21,32.0,False
21,2012-10-22,23.36,False
22,2012-10-23,16.32,False
23,2012-10-24,6.72,False
24,2012-10-25,6.72,False
25,2012-10-26,14.4,False
26,2012-10-27,8.32,False
27,2012-10-28,7.68,False
28,2012-10-29,13.120000000000001,False
29,2012-10-30,6.4,False
30,2012-10-31,10.24,False
0,2012-11-01,15.659999999999998,False
1,2012-11-02,11.6,False
2,2012-11-03,11.6,False
3,2012-11-04,11.309999999999999,False
4,2012-11-05,10.44,False
5,2012-11-06,21.75,False
6,2012-11-07,12.18,False
7,2012-11-08,21.169999999999998,False
8,2012-11-09,26.68,False
9,2012-11-10,11.309999999999999,False
10,2012-11-11,7.539999999999999,False
11,2012-11-12,8.41,False
12,2012-11-13,21.459999999999997,False
13,2012-11-14,14.79,False
14,2012-11-15,15.079999999999998,False
15,2012-11-16,13.049999999999999,False
16,2012-11-17,14.79,False
17,2012-11-18,14.79,False
18,2012-11-19,28.999999999999996,False
19,2012-11-20,16.529999999999998,False
20,2012-11-21,14.79,False
21,2012-11-22,15.37,False
22,2012-11-23,20.009999999999998,False
23,2012-11-24,11.309999999999999,False
24,2012-11-25,7.249999999999999,False
25,2012-11-26,14.209999999999999,False
26,2012-11-27,12.18,False
27,2012-11-28,12.18,False
28,2012-11-29,20.59,False
29,2012-11-30,19.43,False
0,2012-12-01,7.0200000000000005,False
1,2012-12-02,6.75,False
2,2012-12-03,11.610000000000001,False
3,2012-12-04,13.23,False
4,2012-12-05,11.610000000000001,False
5,2012-12-06,7.83,False
6,2012-12-07,20.520000000000003,False
7,2012-12-08,7.0200000000000005,False
8,2012-12-09,6.75,False
9,2012-12-10,17.01,False
10,2012-12-11,11.610000000000001,False
11,2012-12-12,27.0,False
12,2012-12-13,11.610000000000001,False
13,2012-12-14,5.94,False
14,2012-12-15,13.770000000000001,False
15,2012-12-16,13.5,False
16,2012-12-17,14.580000000000002,False
17,2012-12-18,8.64,False
18,2012-12-19,9.99,False
19,2012-12-20,22.14,False
20,2012-12-21,9.450000000000001,False
21,2012-12-22,21.6,False
22,2012-12-23,7.290000000000001,False
23,2012-12-24,0.0,False
24,2012-12-25,15.66,False
25,2012-12-26,9.99,False
26,2012-12-27,10.260000000000002,False
27,2012-12-28,22.41,False
28,2012-12-29,7.0200000000000005,False
29,2012-12-30,0.0,False
30,2012-12-31,11.88,False
0,2013-01-01,8.14,False
1,2013-01-02,19.98,False
2,2013-01-03,16.28,False
3,2013-01-04,16.65,False
4,2013-01-05,7.4,False
5,2013-01-06,0.0,False
6,2013-01-07,15.54,False
7,2013-01-08,12.58,False
8,2013-01-09,21.83,False
9,2013-01-10,6.29,False
10,2013-01-11,12.95,False
11,2013-01-12,7.4,False
12,2013-01-13,7.03,False
13,2013-01-14,15.17,False
14,2013-01-15,29.97,False
15,2013-01-16,12.209999999999999,False
16,2013-01-17,12.209999999999999,False
17,2013-01-18,12.95,False
18,2013-01-19,14.43,False
19,2013-01-20,7.03,False
20,2013-01-21,5.92,False
21,2013-01-22,5.92,False
22,2013-01-23,30.34,False
23,2013-01-24,37.0,False
24,2013-01-25,28.49,False
25,2013-01-26,21.83,False
