,date,GILD stock,isPartial
13,2013-02-14,5.2,False
14,2013-02-15,5.36,False
15,2013-02-16,3.04,False
16,2013-02-17,0.0,False
17,2013-02-18,2.56,False
18,2013-02-19,3.7600000000000002,False
19,2013-02-20,2.56,False
20,2013-02-21,7.5200000000000005,False
21,2013-02-22,2.64,False
22,2013-02-23,0.0,False
23,2013-02-24,0.0,False
24,2013-02-25,3.68,False
25,2013-02-26,4.96,False
26,2013-02-27,4.96,False
27,2013-02-28,0.0,False
0,2013-03-01,4.14,False
1,2013-03-02,0.0,False
2,2013-03-03,2.34,False
3,2013-03-04,3.2399999999999998,False
4,2013-03-05,1.98,False
5,2013-03-06,2.9699999999999998,False
6,2013-03-07,4.05,False
7,2013-03-08,3.42,False
8,2013-03-09,0.0,False
9,2013-03-10,0.0,False
10,2013-03-11,1.98,False
11,2013-03-12,1.89,False
12,2013-03-13,1.89,False
13,2013-03-14,5.85,False
14,2013-03-15,0.0,False
15,2013-03-16,2.34,False
16,2013-03-17,2.25,False
17,2013-03-18,0.0,False
18,2013-03-19,1.98,False
19,2013-03-20,0.0,False
20,2013-03-21,3.33,False
21,2013-03-22,1.98,False
22,2013-03-23,2.34,False
23,2013-03-24,0.0,False
24,2013-03-25,2.61,False
25,2013-03-26,3.2399999999999998,False
26,2013-03-27,5.3999999999999995,False
27,2013-03-28,9.0,False
28,2013-03-29,4.5,False
29,2013-03-30,2.4299999999999997,False
30,2013-03-31,2.52,False
0,2013-04-01,3.19,False
1,2013-04-02,2.97,False
2,2013-04-03,7.48,False
3,2013-04-04,7.04,False
4,2013-04-05,3.19,False
5,2013-04-06,3.63,False
6,2013-04-07,3.52,False
7,2013-04-08,8.91,False
8,2013-04-09,4.4,False
9,2013-04-10,6.05,False
10,2013-04-11,3.08,False
11,2013-04-12,8.47,False
12,2013-04-13,7.37,False
13,2013-04-14,0.0,False
14,2013-04-15,9.02,False
15,2013-04-16,5.06,False
16,2013-04-17,3.08,False
17,2013-04-18,5.06,False
18,2013-04-19,5.28,False
19,2013-04-20,3.63,False
20,2013-04-21,3.63,False
21,2013-04-22,11.0,False
22,2013-04-23,4.95,False
23,2013-04-24,4.07,False
24,2013-04-25,10.45,False
25,2013-04-26,7.48,False
26,2013-04-27,3.63,False
27,2013-04-28,0.0,False
28,2013-04-29,2.97,False
29,2013-04-30,4.62,False
0,2013-05-01,9.24,False
1,2013-05-02,10.360000000000001,False
2,2013-05-03,8.96,False
3,2013-05-04,4.2,False
4,2013-05-05,4.0600000000000005,False
5,2013-05-06,8.540000000000001,False
6,2013-05-07,3.3600000000000003,False
7,2013-05-08,8.540000000000001,False
8,2013-05-09,14.000000000000002,False
9,2013-05-10,3.6400000000000006,False
10,2013-05-11,6.16,False
11,2013-05-12,4.0600000000000005,False
12,2013-05-13,8.260000000000002,False
13,2013-05-14,4.48,False
14,2013-05-15,9.940000000000001,False
15,2013-05-16,10.22,False
16,2013-05-17,5.32,False
17,2013-05-18,4.0600000000000005,False
18,2013-05-19,6.0200000000000005,False
19,2013-05-20,5.040000000000001,False
20,2013-05-21,3.22,False
21,2013-05-22,13.3,False
22,2013-05-23,11.760000000000002,False
23,2013-05-24,8.680000000000001,False
24,2013-05-25,0.0,False
25,2013-05-26,4.0600000000000005,False
26,2013-05-27,3.5000000000000004,False
27,2013-05-28,8.260000000000002,False
28,2013-05-29,3.22,False
29,2013-05-30,5.180000000000001,False
30,2013-05-31,3.5000000000000004,False
0,2013-06-01,0.0,False
1,2013-06-02,6.359999999999999,False
2,2013-06-03,9.24,False
3,2013-06-04,12.0,False
4,2013-06-05,0.0,False
5,2013-06-06,5.52,False
6,2013-06-07,8.52,False
7,2013-06-08,4.92,False
8,2013-06-09,0.0,False
9,2013-06-10,3.96,False
10,2013-06-11,6.6,False
11,2013-06-12,2.76,False
12,2013-06-13,6.72,False
13,2013-06-14,5.76,False
14,2013-06-15,3.36,False
15,2013-06-16,0.0,False
16,2013-06-17,8.04,False
17,2013-06-18,2.6399999999999997,False
18,2013-06-19,4.08,False
19,2013-06-20,5.52,False
20,2013-06-21,11.4,False
21,2013-06-22,3.36,False
22,2013-06-23,0.0,False
23,2013-06-24,10.68,False
24,2013-06-25,2.6399999999999997,False
25,2013-06-26,2.76,False
26,2013-06-27,4.08,False
