,date,EA stock,isPartial
7,2012-09-08,1.8200000000000003,False
8,2012-09-09,3.5700000000000003,False
9,2012-09-10,5.32,False
10,2012-09-11,4.83,False
11,2012-09-12,5.74,False
12,2012-09-13,3.8500000000000005,False
13,2012-09-14,4.0600000000000005,False
14,2012-09-15,2.9400000000000004,False
15,2012-09-16,1.7500000000000002,False
16,2012-09-17,5.250000000000001,False
17,2012-09-18,4.2700000000000005,False
18,2012-09-19,3.3600000000000003,False
19,2012-09-20,2.9400000000000004,False
20,2012-09-21,4.0600000000000005,False
21,2012-09-22,2.9400000000000004,False
22,2012-09-23,3.43,False
23,2012-09-24,2.8000000000000003,False
24,2012-09-25,3.5000000000000004,False
25,2012-09-26,4.760000000000001,False
26,2012-09-27,4.83,False
27,2012-09-28,3.7800000000000002,False
28,2012-09-29,7.000000000000001,False
29,2012-09-30,3.43,False
0,2012-10-01,2.2,False
1,2012-10-02,2.2,False
2,2012-10-03,2.2,False
3,2012-10-04,2.15,False
4,2012-10-05,5.0,False
5,2012-10-06,1.3,False
6,2012-10-07,0.0,False
7,2012-10-08,2.1,False
8,2012-10-09,3.1500000000000004,False
9,2012-10-10,2.1,False
10,2012-10-11,2.15,False
11,2012-10-12,3.35,False
12,2012-10-13,2.5500000000000003,False
13,2012-10-14,1.25,False
14,2012-10-15,2.1,False
15,2012-10-16,4.15,False
16,2012-10-17,2.1,False
17,2012-10-18,3.7,False
18,2012-10-19,1.6500000000000001,False
19,2012-10-20,1.25,False
20,2012-10-21,3.75,False
21,2012-10-22,1.55,False
22,2012-10-23,2.0500000000000003,False
23,2012-10-24,1.55,False
24,2012-10-25,2.15,False
25,2012-10-26,1.7000000000000002,False
26,2012-10-27,1.3,False
27,2012-10-28,0.0,False
28,2012-10-29,3.0500000000000003,False
29,2012-10-30,3.0500000000000003,False
30,2012-10-31,4.25,False
0,2012-11-01,4.9,False
1,2012-11-02,4.5,False
2,2012-11-03,1.25,False
3,2012-11-04,1.2000000000000002,False
4,2012-11-05,2.0,False
5,2012-11-06,2.0,False
6,2012-11-07,3.5,False
7,2012-11-08,3.6,False
8,2012-11-09,2.15,False
9,2012-11-10,0.0,False
10,2012-11-11,3.6,False
11,2012-11-12,2.0500000000000003,False
12,2012-11-13,2.0500000000000003,False
13,2012-11-14,2.0500000000000003,False
14,2012-11-15,2.6,False
15,2012-11-16,1.6,False
16,2012-11-17,0.0,False
17,2012-11-18,1.2000000000000002,False
18,2012-11-19,3.5500000000000003,False
19,2012-11-20,1.5,False
20,2012-11-21,1.55,False
21,2012-11-22,1.05,False
22,2012-11-23,1.6,False
23,2012-11-24,2.45,False
24,2012-11-25,1.2000000000000002,False
25,2012-11-26,2.95,False
26,2012-11-27,5.0,False
27,2012-11-28,5.0,False
28,2012-11-29,3.5,False
29,2012-11-30,4.2,False
0,2012-12-01,0.0,False
1,2012-12-02,1.28,False
2,2012-12-03,2.12,False
3,2012-12-04,3.16,False
4,2012-12-05,1.6,False
5,2012-12-06,3.3200000000000003,False
6,2012-12-07,1.12,False
7,2012-12-08,4.0,False
8,2012-12-09,2.56,False
9,2012-12-10,1.08,False
10,2012-12-11,2.12,False
11,2012-12-12,1.08,False
12,2012-12-13,2.72,False
13,2012-12-14,3.36,False
14,2012-12-15,1.28,False
15,2012-12-16,2.56,False
16,2012-12-17,2.68,False
17,2012-12-18,3.24,False
18,2012-12-19,3.36,False
19,2012-12-20,3.36,False
20,2012-12-21,2.36,False
21,2012-12-22,1.36,False
22,2012-12-23,2.08,False
23,2012-12-24,1.36,False
24,2012-12-25,2.88,False
25,2012-12-26,2.44,False
26,2012-12-27,1.16,False
27,2012-12-28,1.76,False
28,2012-12-29,2.64,False
29,2012-12-30,1.32,False
30,2012-12-31,1.32,False
0,2013-01-01,1.92,False
1,2013-01-02,3.04,False
2,2013-01-03,1.6400000000000001,False
3,2013-01-04,2.72,False
4,2013-01-05,1.12,False
5,2013-01-06,0.0,False
6,2013-01-07,1.92,False
7,2013-01-08,1.92,False
8,2013-01-09,1.92,False
9,2013-01-10,2.88,False
10,2013-01-11,2.48,False
11,2013-01-12,2.24,False
12,2013-01-13,1.08,False
13,2013-01-14,1.4000000000000001,False
14,2013-01-15,3.12,False
15,2013-01-16,2.2,False
16,2013-01-17,1.8800000000000001,False
17,2013-01-18,1.6400000000000001,False
18,2013-01-19,1.48,False
19,2013-01-20,1.6400000000000001,False
20,2013-01-21,0.92,False
21,2013-01-22,2.32,False
22,2013-01-23,2.32,False
23,2013-01-24,1.8800000000000001,False
24,2013-01-25,2.92,False
25,2013-01-26,1.84,False
26,2013-01-27,2.16,False
27,2013-01-28,1.52,False
28,2013-01-29,2.2800000000000002,False
29,2013-01-30,4.0,False
30,2013-01-31,3.12,False
0,2013-02-01,3.8500000000000005,False
1,2013-02-02,1.9600000000000002,False
2,2013-02-03,2.9400000000000004,False
3,2013-02-04,2.0300000000000002,False
4,2013-02-05,3.3600000000000003,False
5,2013-02-06,3.0100000000000002,False
6,2013-02-07,4.0600000000000005,False
7,2013-02-08,2.8000000000000003,False
8,2013-02-09,1.1900000000000002,False
9,2013-02-10,2.3800000000000003,False
10,2013-02-11,3.43,False
11,2013-02-12,1.05,False
12,2013-02-13,3.3600000000000003,False
13,2013-02-14,3.43,False
14,2013-02-15,2.1,False
15,2013-02-16,1.9600000000000002,False
16,2013-02-17,1.9600000000000002,False
17,2013-02-18,0.9800000000000001,False
18,2013-02-19,3.99,False
19,2013-02-20,3.2900000000000005,False
20,2013-02-21,3.3600000000000003,False
21,2013-02-22,3.6400000000000006,False
22,2013-02-23,1.7500000000000002,False
23,2013-02-24,1.54,False
24,2013-02-25,2.24,False
25,2013-02-26,2.24,False
26,2013-02-27,2.9400000000000004,False
27,2013-02-28,7.000000000000001,False
0,2013-03-01,5.460000000000001,False
1,2013-03-02,0.8400000000000001,False
2,2013-03-03,1.2600000000000002,False
3,2013-03-04,2.8000000000000003,False
4,2013-03-05,3.22,False
5,2013-03-06,2.8000000000000003,False
6,2013-03-07,7.140000000000001,False
7,2013-03-08,11.620000000000001,False
8,2013-03-09,4.48,False
9,2013-03-10,0.8400000000000001,False
10,2013-03-11,6.300000000000001,False
11,2013-03-12,4.340000000000001,False
12,2013-03-13,4.340000000000001,False
13,2013-03-14,3.5000000000000004,False
14,2013-03-15,2.9400000000000004,False
15,2013-03-16,2.5200000000000005,False
16,2013-03-17,1.54,False
17,2013-03-18,8.260000000000002,False
18,2013-03-19,14.000000000000002,False
19,2013-03-20,7.700000000000001,False
20,2013-03-21,4.9,False
21,2013-03-22,1.8200000000000003,False
22,2013-03-23,2.5200000000000005,False
23,2013-03-24,1.2600000000000002,False
24,2013-03-25,3.3600000000000003,False
25,2013-03-26,1.6800000000000002,False
26,2013-03-27,2.8000000000000003,False
27,2013-03-28,1.4000000000000001,False
28,2013-03-29,2.3800000000000003,False
29,2013-03-30,0.0,False
30,2013-03-31,1.6800000000000002,False
0,2013-04-01,3.0,False
1,2013-04-02,2.82,False
2,2013-04-03,5.3999999999999995,False
3,2013-04-04,2.88,False
4,2013-04-05,1.98,False
5,2013-04-06,2.6999999999999997,False
6,2013-04-07,1.68,False
7,2013-04-08,1.56,False
8,2013-04-09,6.0,False
9,2013-04-10,4.4399999999999995,False
10,2013-04-11,1.92,False
11,2013-04-12,3.0,False
12,2013-04-13,1.92,False
13,2013-04-14,2.28,False
14,2013-04-15,2.88,False
15,2013-04-16,1.92,False
16,2013-04-17,2.88,False
17,2013-04-18,2.58,False
18,2013-04-19,1.68,False
19,2013-04-20,1.14,False
20,2013-04-21,1.14,False
21,2013-04-22,2.2199999999999998,False
22,2013-04-23,3.48,False
23,2013-04-24,2.4,False
24,2013-04-25,4.92,False
25,2013-04-26,3.6599999999999997,False
26,2013-04-27,3.42,False
