,date,MAT stock,isPartial
17,2012-11-18,0.0,False
18,2012-11-19,4.800000000000001,False
19,2012-11-20,9.600000000000001,False
20,2012-11-21,12.200000000000001,False
21,2012-11-22,5.0,False
22,2012-11-23,5.2,False
23,2012-11-24,5.800000000000001,False
24,2012-11-25,5.6000000000000005,False
25,2012-11-26,0.0,False
26,2012-11-27,0.0,False
27,2012-11-28,9.600000000000001,False
28,2012-11-29,4.800000000000001,False
29,2012-11-30,20.0,False
0,2012-12-01,0.0,False
1,2012-12-02,11.4,False
2,2012-12-03,18.9,False
3,2012-12-04,0.0,False
4,2012-12-05,18.9,False
5,2012-12-06,9.6,False
6,2012-12-07,9.9,False
7,2012-12-08,0.0,False
8,2012-12-09,11.1,False
9,2012-12-10,9.299999999999999,False
10,2012-12-11,0.0,False
11,2012-12-12,19.2,False
12,2012-12-13,9.6,False
13,2012-12-14,30.0,False
14,2012-12-15,11.4,False
15,2012-12-16,11.4,False
16,2012-12-17,19.2,False
17,2012-12-18,9.6,False
18,2012-12-19,19.8,False
19,2012-12-20,15.0,False
20,2012-12-21,10.5,False
21,2012-12-22,0.0,False
22,2012-12-23,24.599999999999998,False
23,2012-12-24,0.0,False
24,2012-12-25,0.0,False
25,2012-12-26,10.799999999999999,False
26,2012-12-27,10.2,False
27,2012-12-28,10.5,False
28,2012-12-29,0.0,False
29,2012-12-30,11.7,False
30,2012-12-31,17.7,False
0,2013-01-01,0.0,False
1,2013-01-02,8.12,False
2,2013-01-03,7.829999999999999,False
3,2013-01-04,8.12,False
4,2013-01-05,0.0,False
5,2013-01-06,13.34,False
6,2013-01-07,15.079999999999998,False
7,2013-01-08,10.149999999999999,False
8,2013-01-09,14.79,False
9,2013-01-10,7.539999999999999,False
10,2013-01-11,0.0,False
11,2013-01-12,0.0,False
12,2013-01-13,8.7,False
13,2013-01-14,7.539999999999999,False
14,2013-01-15,0.0,False
15,2013-01-16,7.539999999999999,False
16,2013-01-17,7.539999999999999,False
17,2013-01-18,7.829999999999999,False
18,2013-01-19,0.0,False
19,2013-01-20,8.7,False
20,2013-01-21,7.249999999999999,False
21,2013-01-22,17.11,False
22,2013-01-23,11.02,False
23,2013-01-24,11.309999999999999,False
24,2013-01-25,7.539999999999999,False
25,2013-01-26,17.689999999999998,False
26,2013-01-27,11.309999999999999,False
27,2013-01-28,7.249999999999999,False
28,2013-01-29,7.249999999999999,False
29,2013-01-30,28.999999999999996,False
30,2013-01-31,0.0,False
0,2013-02-01,16.08,False
1,2013-02-02,12.0,False
2,2013-02-03,12.0,False
3,2013-02-04,20.16,False
4,2013-02-05,20.4,False
5,2013-02-06,15.12,False
6,2013-02-07,10.32,False
7,2013-02-08,16.08,False
8,2013-02-09,12.24,False
9,2013-02-10,0.0,False
10,2013-02-11,0.0,False
11,2013-02-12,15.84,False
12,2013-02-13,20.4,False
13,2013-02-14,10.559999999999999,False
14,2013-02-15,10.799999999999999,False
15,2013-02-16,24.0,False
16,2013-02-17,0.0,False
17,2013-02-18,20.16,False
18,2013-02-19,10.08,False
19,2013-02-20,10.08,False
20,2013-02-21,10.08,False
21,2013-02-22,10.559999999999999,False
22,2013-02-23,11.76,False
23,2013-02-24,0.0,False
24,2013-02-25,9.84,False
25,2013-02-26,0.0,False
26,2013-02-27,9.84,False
27,2013-02-28,10.08,False
0,2013-03-01,0.0,False
1,2013-03-02,11.75,False
2,2013-03-03,0.0,False
3,2013-03-04,20.0,False
4,2013-03-05,15.0,False
5,2013-03-06,10.0,False
6,2013-03-07,10.0,False
7,2013-03-08,10.5,False
8,2013-03-09,0.0,False
9,2013-03-10,11.5,False
10,2013-03-11,19.75,False
11,2013-03-12,9.75,False
12,2013-03-13,9.75,False
13,2013-03-14,0.0,False
14,2013-03-15,15.25,False
15,2013-03-16,0.0,False
16,2013-03-17,11.5,False
17,2013-03-18,9.75,False
18,2013-03-19,9.75,False
19,2013-03-20,10.0,False
20,2013-03-21,0.0,False
21,2013-03-22,10.25,False
22,2013-03-23,11.75,False
23,2013-03-24,11.5,False
24,2013-03-25,9.75,False
25,2013-03-26,9.75,False
26,2013-03-27,20.5,False
27,2013-03-28,10.5,False
28,2013-03-29,0.0,False
29,2013-03-30,0.0,False
30,2013-03-31,25.0,False
0,2013-04-01,0.0,False
1,2013-04-02,8.32,False
2,2013-04-03,8.32,False
3,2013-04-04,8.32,False
4,2013-04-05,26.0,False
5,2013-04-06,0.0,False
6,2013-04-07,9.88,False
7,2013-04-08,16.38,False
8,2013-04-09,8.32,False
9,2013-04-10,8.32,False
10,2013-04-11,8.32,False
11,2013-04-12,8.84,False
12,2013-04-13,10.14,False
13,2013-04-14,10.14,False
14,2013-04-15,16.64,False
15,2013-04-16,20.8,False
16,2013-04-17,19.5,False
17,2013-04-18,11.18,False
18,2013-04-19,17.16,False
19,2013-04-20,10.14,False
20,2013-04-21,0.0,False
21,2013-04-22,16.64,False
22,2013-04-23,8.32,False
23,2013-04-24,8.32,False
24,2013-04-25,13.0,False
25,2013-04-26,8.58,False
26,2013-04-27,20.02,False
27,2013-04-28,0.0,False
28,2013-04-29,0.0,False
29,2013-04-30,0.0,False
0,2013-05-01,0.0,False
1,2013-05-02,0.0,False
2,2013-05-03,8.55,False
3,2013-05-04,14.44,False
4,2013-05-05,0.0,False
