,date,KO stock,isPartial
28,2013-01-29,22.96,False
29,2013-01-30,14.000000000000002,False
30,2013-01-31,14.000000000000002,False
0,2013-02-01,9.299999999999999,False
1,2013-02-02,8.7,False
2,2013-02-03,3.3,False
3,2013-02-04,7.199999999999999,False
4,2013-02-05,12.9,False
5,2013-02-06,14.7,False
6,2013-02-07,30.0,False
7,2013-02-08,10.799999999999999,False
8,2013-02-09,7.199999999999999,False
9,2013-02-10,3.5999999999999996,False
10,2013-02-11,10.5,False
11,2013-02-12,21.0,False
12,2013-02-13,22.2,False
13,2013-02-14,19.5,False
14,2013-02-15,18.599999999999998,False
15,2013-02-16,5.1,False
16,2013-02-17,6.8999999999999995,False
17,2013-02-18,8.7,False
18,2013-02-19,11.7,False
19,2013-02-20,20.4,False
20,2013-02-21,11.7,False
21,2013-02-22,18.3,False
22,2013-02-23,10.2,False
23,2013-02-24,5.1,False
24,2013-02-25,6.8999999999999995,False
25,2013-02-26,9.9,False
26,2013-02-27,18.599999999999998,False
27,2013-02-28,14.7,False
0,2013-03-01,12.24,False
1,2013-03-02,5.44,False
2,2013-03-03,5.44,False
3,2013-03-04,11.56,False
4,2013-03-05,25.500000000000004,False
5,2013-03-06,32.300000000000004,False
6,2013-03-07,30.6,False
7,2013-03-08,34.0,False
8,2013-03-09,5.44,False
9,2013-03-10,10.88,False
10,2013-03-11,27.200000000000003,False
11,2013-03-12,15.98,False
12,2013-03-13,31.62,False
13,2013-03-14,20.740000000000002,False
14,2013-03-15,19.040000000000003,False
15,2013-03-16,13.600000000000001,False
16,2013-03-17,5.44,False
17,2013-03-18,22.78,False
18,2013-03-19,11.22,False
19,2013-03-20,20.740000000000002,False
20,2013-03-21,23.12,False
21,2013-03-22,26.180000000000003,False
22,2013-03-23,5.44,False
23,2013-03-24,8.16,False
24,2013-03-25,11.56,False
25,2013-03-26,20.740000000000002,False
26,2013-03-27,14.280000000000001,False
27,2013-03-28,27.200000000000003,False
28,2013-03-29,18.700000000000003,False
29,2013-03-30,11.22,False
30,2013-03-31,11.56,False
0,2013-04-01,14.7,False
1,2013-04-02,15.749999999999998,False
2,2013-04-03,14.0,False
3,2013-04-04,17.849999999999998,False
4,2013-04-05,10.85,False
5,2013-04-06,6.3,False
6,2013-04-07,0.0,False
7,2013-04-08,10.5,False
8,2013-04-09,24.15,False
9,2013-04-10,22.75,False
10,2013-04-11,19.25,False
11,2013-04-12,16.45,False
12,2013-04-13,6.3,False
13,2013-04-14,6.3,False
14,2013-04-15,19.25,False
15,2013-04-16,35.0,False
16,2013-04-17,24.5,False
17,2013-04-18,16.099999999999998,False
18,2013-04-19,22.049999999999997,False
19,2013-04-20,12.6,False
20,2013-04-21,6.3,False
21,2013-04-22,19.25,False
22,2013-04-23,26.599999999999998,False
23,2013-04-24,15.749999999999998,False
24,2013-04-25,22.049999999999997,False
25,2013-04-26,14.7,False
26,2013-04-27,10.5,False
27,2013-04-28,10.5,False
28,2013-04-29,17.5,False
29,2013-04-30,21.349999999999998,False
0,2013-05-01,20.46,False
1,2013-05-02,18.810000000000002,False
2,2013-05-03,33.0,False
3,2013-05-04,7.590000000000001,False
4,2013-05-05,0.0,False
5,2013-05-06,12.540000000000001,False
6,2013-05-07,12.21,False
7,2013-05-08,25.080000000000002,False
8,2013-05-09,12.540000000000001,False
9,2013-05-10,26.400000000000002,False
10,2013-05-11,3.6300000000000003,False
11,2013-05-12,3.6300000000000003,False
12,2013-05-13,15.180000000000001,False
13,2013-05-14,8.91,False
14,2013-05-15,12.21,False
15,2013-05-16,15.510000000000002,False
16,2013-05-17,12.870000000000001,False
17,2013-05-18,0.0,False
18,2013-05-19,3.6300000000000003,False
