,date,MSFT stock,isPartial
29,2012-11-30,8.25,False
0,2012-12-01,2.6999999999999997,False
1,2012-12-02,3.2399999999999998,False
2,2012-12-03,5.3999999999999995,False
3,2012-12-04,9.0,False
4,2012-12-05,7.739999999999999,False
5,2012-12-06,7.02,False
6,2012-12-07,6.75,False
7,2012-12-08,4.14,False
8,2012-12-09,3.15,False
9,2012-12-10,8.1,False
10,2012-12-11,5.9399999999999995,False
11,2012-12-12,5.04,False
12,2012-12-13,7.38,False
13,2012-12-14,8.1,False
14,2012-12-15,2.4299999999999997,False
15,2012-12-16,1.6199999999999999,False
16,2012-12-17,7.29,False
17,2012-12-18,7.83,False
18,2012-12-19,5.22,False
19,2012-12-20,6.21,False
20,2012-12-21,8.1,False
21,2012-12-22,2.61,False
22,2012-12-23,1.7999999999999998,False
23,2012-12-24,3.42,False
24,2012-12-25,3.69,False
25,2012-12-26,4.68,False
26,2012-12-27,7.38,False
27,2012-12-28,6.029999999999999,False
28,2012-12-29,5.04,False
29,2012-12-30,1.71,False
30,2012-12-31,7.92,False
0,2013-01-01,1.4000000000000001,False
1,2013-01-02,8.120000000000001,False
2,2013-01-03,7.840000000000001,False
3,2013-01-04,5.880000000000001,False
4,2013-01-05,1.8200000000000003,False
5,2013-01-06,2.9400000000000004,False
6,2013-01-07,7.700000000000001,False
7,2013-01-08,9.66,False
8,2013-01-09,3.5000000000000004,False
9,2013-01-10,7.140000000000001,False
10,2013-01-11,5.74,False
11,2013-01-12,2.3800000000000003,False
12,2013-01-13,1.6800000000000002,False
13,2013-01-14,5.460000000000001,False
14,2013-01-15,5.880000000000001,False
15,2013-01-16,7.000000000000001,False
16,2013-01-17,7.000000000000001,False
17,2013-01-18,4.2,False
18,2013-01-19,1.12,False
19,2013-01-20,1.6800000000000002,False
20,2013-01-21,2.3800000000000003,False
21,2013-01-22,5.880000000000001,False
22,2013-01-23,7.840000000000001,False
23,2013-01-24,14.000000000000002,False
24,2013-01-25,9.8,False
25,2013-01-26,4.760000000000001,False
26,2013-01-27,1.12,False
27,2013-01-28,6.86,False
28,2013-01-29,4.340000000000001,False
29,2013-01-30,6.86,False
30,2013-01-31,7.98,False
0,2013-02-01,8.91,False
1,2013-02-02,5.17,False
2,2013-02-03,1.76,False
3,2013-02-04,6.6,False
4,2013-02-05,5.17,False
5,2013-02-06,11.0,False
6,2013-02-07,7.48,False
7,2013-02-08,7.26,False
8,2013-02-09,3.3,False
9,2013-02-10,1.32,False
10,2013-02-11,5.94,False
11,2013-02-12,9.13,False
12,2013-02-13,5.94,False
13,2013-02-14,5.28,False
14,2013-02-15,3.85,False
15,2013-02-16,1.98,False
16,2013-02-17,1.32,False
17,2013-02-18,3.3,False
18,2013-02-19,7.59,False
19,2013-02-20,5.06,False
20,2013-02-21,5.17,False
21,2013-02-22,5.28,False
22,2013-02-23,3.19,False
23,2013-02-24,2.97,False
24,2013-02-25,4.62,False
25,2013-02-26,3.96,False
26,2013-02-27,7.26,False
27,2013-02-28,5.5,False
0,2013-03-01,6.1000000000000005,False
1,2013-03-02,3.7,False
2,2013-03-03,1.2000000000000002,False
3,2013-03-04,4.1000000000000005,False
4,2013-03-05,10.0,False
5,2013-03-06,7.2,False
6,2013-03-07,7.4,False
7,2013-03-08,5.7,False
8,2013-03-09,3.6,False
9,2013-03-10,1.2000000000000002,False
10,2013-03-11,7.1000000000000005,False
11,2013-03-12,5.0,False
12,2013-03-13,4.7,False
13,2013-03-14,2.4000000000000004,False
14,2013-03-15,2.5,False
15,2013-03-16,1.8,False
16,2013-03-17,2.8000000000000003,False
17,2013-03-18,1.0,False
18,2013-03-19,3.7,False
19,2013-03-20,3.8000000000000003,False
20,2013-03-21,4.800000000000001,False
21,2013-03-22,6.7,False
22,2013-03-23,2.8000000000000003,False
23,2013-03-24,2.0,False
24,2013-03-25,3.4000000000000004,False
25,2013-03-26,3.8000000000000003,False
26,2013-03-27,3.5,False
27,2013-03-28,6.9,False
28,2013-03-29,2.8000000000000003,False
29,2013-03-30,3.2,False
30,2013-03-31,1.9000000000000001,False
0,2013-04-01,3.91,False
1,2013-04-02,6.800000000000001,False
2,2013-04-03,4.760000000000001,False
3,2013-04-04,6.460000000000001,False
4,2013-04-05,4.930000000000001,False
5,2013-04-06,2.5500000000000003,False
6,2013-04-07,1.87,False
7,2013-04-08,7.140000000000001,False
8,2013-04-09,5.2700000000000005,False
9,2013-04-10,10.030000000000001,False
10,2013-04-11,11.73,False
11,2013-04-12,9.350000000000001,False
12,2013-04-13,4.42,False
13,2013-04-14,3.2300000000000004,False
14,2013-04-15,7.82,False
15,2013-04-16,8.5,False
16,2013-04-17,5.78,False
17,2013-04-18,11.73,False
18,2013-04-19,9.520000000000001,False
19,2013-04-20,4.42,False
20,2013-04-21,5.1000000000000005,False
21,2013-04-22,13.260000000000002,False
22,2013-04-23,7.82,False
23,2013-04-24,10.71,False
24,2013-04-25,17.0,False
25,2013-04-26,7.3100000000000005,False
26,2013-04-27,3.74,False
27,2013-04-28,2.5500000000000003,False
28,2013-04-29,9.520000000000001,False
29,2013-04-30,11.73,False
0,2013-05-01,7.77,False
1,2013-05-02,5.25,False
2,2013-05-03,5.04,False
3,2013-05-04,1.89,False
4,2013-05-05,1.89,False
5,2013-05-06,5.88,False
6,2013-05-07,5.46,False
7,2013-05-08,7.56,False
8,2013-05-09,6.51,False
9,2013-05-10,4.62,False
10,2013-05-11,1.89,False
11,2013-05-12,0.0,False
12,2013-05-13,5.46,False
13,2013-05-14,6.51,False
14,2013-05-15,8.19,False
15,2013-05-16,7.35,False
16,2013-05-17,8.19,False
17,2013-05-18,3.78,False
18,2013-05-19,2.73,False
19,2013-05-20,6.93,False
20,2013-05-21,21.0,False
21,2013-05-22,14.7,False
22,2013-05-23,9.45,False
23,2013-05-24,6.09,False
24,2013-05-25,5.25,False
25,2013-05-26,2.73,False
26,2013-05-27,1.68,False
27,2013-05-28,5.25,False
28,2013-05-29,10.29,False
29,2013-05-30,7.14,False
30,2013-05-31,6.09,False
0,2013-06-01,3.91,False
1,2013-06-02,2.89,False
2,2013-06-03,10.200000000000001,False
3,2013-06-04,8.84,False
4,2013-06-05,8.16,False
5,2013-06-06,7.99,False
6,2013-06-07,8.67,False
7,2013-06-08,6.12,False
8,2013-06-09,3.91,False
9,2013-06-10,9.01,False
10,2013-06-11,17.0,False
11,2013-06-12,13.260000000000002,False
12,2013-06-13,11.05,False
13,2013-06-14,8.33,False
14,2013-06-15,3.06,False
15,2013-06-16,2.5500000000000003,False
16,2013-06-17,9.180000000000001,False
17,2013-06-18,8.16,False
