,date,COST stock,isPartial
29,2012-12-30,8.74,False
30,2012-12-31,20.14,False
0,2013-01-01,11.78,False
1,2013-01-02,38.0,False
2,2013-01-03,31.92,False
3,2013-01-04,21.28,False
4,2013-01-05,20.14,False
5,2013-01-06,19.0,False
6,2013-01-07,26.98,False
7,2013-01-08,28.88,False
8,2013-01-09,21.66,False
9,2013-01-10,28.88,False
10,2013-01-11,27.740000000000002,False
11,2013-01-12,17.48,False
12,2013-01-13,19.38,False
13,2013-01-14,17.86,False
14,2013-01-15,22.04,False
15,2013-01-16,29.26,False
16,2013-01-17,24.32,False
17,2013-01-18,31.54,False
18,2013-01-19,19.38,False
19,2013-01-20,21.66,False
20,2013-01-21,25.080000000000002,False
21,2013-01-22,22.04,False
22,2013-01-23,31.16,False
23,2013-01-24,31.54,False
24,2013-01-25,32.3,False
25,2013-01-26,24.32,False
26,2013-01-27,22.8,False
27,2013-01-28,30.02,False
28,2013-01-29,30.78,False
29,2013-01-30,26.98,False
30,2013-01-31,21.28,False
0,2013-02-01,24.94,False
1,2013-02-02,19.35,False
2,2013-02-03,20.64,False
3,2013-02-04,28.38,False
4,2013-02-05,37.839999999999996,False
5,2013-02-06,27.09,False
6,2013-02-07,39.13,False
7,2013-02-08,23.22,False
8,2013-02-09,30.53,False
9,2013-02-10,30.099999999999998,False
10,2013-02-11,39.99,False
11,2013-02-12,34.83,False
12,2013-02-13,36.98,False
13,2013-02-14,30.53,False
14,2013-02-15,27.95,False
15,2013-02-16,27.95,False
16,2013-02-17,21.5,False
17,2013-02-18,30.53,False
18,2013-02-19,43.0,False
19,2013-02-20,34.83,False
20,2013-02-21,36.55,False
21,2013-02-22,25.8,False
22,2013-02-23,36.98,False
23,2013-02-24,39.56,False
24,2013-02-25,43.0,False
25,2013-02-26,33.97,False
26,2013-02-27,40.85,False
27,2013-02-28,36.55,False
0,2013-03-01,33.92,False
1,2013-03-02,25.44,False
2,2013-03-03,34.45,False
3,2013-03-04,38.160000000000004,False
4,2013-03-05,45.050000000000004,False
5,2013-03-06,52.470000000000006,False
6,2013-03-07,42.400000000000006,False
7,2013-03-08,30.21,False
8,2013-03-09,23.85,False
9,2013-03-10,41.870000000000005,False
10,2013-03-11,53.0,False
11,2013-03-12,50.88,False
12,2013-03-13,34.980000000000004,False
13,2013-03-14,47.17,False
14,2013-03-15,42.93,False
15,2013-03-16,36.57,False
16,2013-03-17,28.09,False
17,2013-03-18,40.81,False
18,2013-03-19,34.45,False
19,2013-03-20,43.46,False
20,2013-03-21,42.93,False
21,2013-03-22,33.92,False
22,2013-03-23,41.34,False
23,2013-03-24,51.940000000000005,False
24,2013-03-25,46.11,False
25,2013-03-26,49.29,False
26,2013-03-27,37.1,False
27,2013-03-28,47.17,False
28,2013-03-29,52.470000000000006,False
29,2013-03-30,21.200000000000003,False
30,2013-03-31,37.63,False
0,2013-04-01,35.0,False
1,2013-04-02,48.5,False
2,2013-04-03,41.0,False
3,2013-04-04,44.0,False
4,2013-04-05,46.5,False
5,2013-04-06,28.5,False
6,2013-04-07,27.0,False
7,2013-04-08,33.0,False
8,2013-04-09,35.5,False
9,2013-04-10,49.5,False
10,2013-04-11,50.0,False
11,2013-04-12,45.5,False
12,2013-04-13,37.5,False
13,2013-04-14,36.0,False
14,2013-04-15,39.0,False
15,2013-04-16,39.0,False
16,2013-04-17,32.5,False
17,2013-04-18,29.5,False
18,2013-04-19,25.5,False
19,2013-04-20,22.0,False
20,2013-04-21,24.5,False
21,2013-04-22,30.5,False
22,2013-04-23,34.0,False
23,2013-04-24,40.0,False
24,2013-04-25,34.0,False
25,2013-04-26,34.5,False
26,2013-04-27,24.0,False
27,2013-04-28,21.0,False
28,2013-04-29,38.5,False
29,2013-04-30,36.0,False
0,2013-05-01,31.05,False
1,2013-05-02,31.95,False
2,2013-05-03,32.85,False
3,2013-05-04,28.8,False
4,2013-05-05,22.5,False
5,2013-05-06,36.0,False
6,2013-05-07,34.65,False
7,2013-05-08,45.0,False
8,2013-05-09,33.75,False
9,2013-05-10,31.05,False
10,2013-05-11,23.85,False
11,2013-05-12,19.8,False
12,2013-05-13,27.0,False
13,2013-05-14,37.35,False
14,2013-05-15,27.0,False
15,2013-05-16,31.5,False
16,2013-05-17,31.05,False
17,2013-05-18,22.05,False
18,2013-05-19,17.1,False
19,2013-05-20,35.1,False
20,2013-05-21,33.300000000000004,False
21,2013-05-22,20.25,False
22,2013-05-23,30.150000000000002,False
23,2013-05-24,23.85,False
24,2013-05-25,19.8,False
25,2013-05-26,21.150000000000002,False
26,2013-05-27,15.3,False
27,2013-05-28,36.45,False
28,2013-05-29,20.25,False
29,2013-05-30,27.0,False
30,2013-05-31,27.900000000000002,False
0,2013-06-01,18.2,False
1,2013-06-02,11.549999999999999,False
2,2013-06-03,26.95,False
3,2013-06-04,24.15,False
