,date,HAS stock,isPartial
6,2013-06-07,16.799999999999997,False
7,2013-06-08,20.299999999999997,False
8,2013-06-09,35.0,False
9,2013-06-10,18.549999999999997,False
10,2013-06-11,27.65,False
11,2013-06-12,24.15,False
12,2013-06-13,28.0,False
13,2013-06-14,28.7,False
14,2013-06-15,22.4,False
15,2013-06-16,18.9,False
16,2013-06-17,30.45,False
17,2013-06-18,24.5,False
18,2013-06-19,23.45,False
19,2013-06-20,24.849999999999998,False
20,2013-06-21,19.25,False
21,2013-06-22,25.2,False
22,2013-06-23,22.75,False
23,2013-06-24,21.0,False
24,2013-06-25,18.9,False
25,2013-06-26,24.5,False
26,2013-06-27,26.25,False
27,2013-06-28,25.9,False
28,2013-06-29,21.7,False
29,2013-06-30,25.549999999999997,False
0,2013-07-01,22.63,False
1,2013-07-02,21.7,False
2,2013-07-03,20.15,False
3,2013-07-04,15.5,False
4,2013-07-05,9.92,False
5,2013-07-06,16.12,False
6,2013-07-07,21.7,False
7,2013-07-08,16.43,False
8,2013-07-09,21.7,False
9,2013-07-10,20.15,False
10,2013-07-11,17.669999999999998,False
11,2013-07-12,31.0,False
12,2013-07-13,21.39,False
13,2013-07-14,12.09,False
14,2013-07-15,22.94,False
15,2013-07-16,22.94,False
16,2013-07-17,21.39,False
17,2013-07-18,20.77,False
18,2013-07-19,20.46,False
19,2013-07-20,15.81,False
20,2013-07-21,14.879999999999999,False
21,2013-07-22,22.01,False
22,2013-07-23,25.11,False
23,2013-07-24,22.01,False
24,2013-07-25,26.04,False
25,2013-07-26,25.11,False
26,2013-07-27,24.8,False
27,2013-07-28,17.669999999999998,False
28,2013-07-29,16.12,False
29,2013-07-30,21.7,False
30,2013-07-31,18.29,False
0,2013-08-01,24.8,False
1,2013-08-02,26.04,False
2,2013-08-03,17.98,False
3,2013-08-04,20.46,False
4,2013-08-05,25.419999999999998,False
5,2013-08-06,26.04,False
6,2013-08-07,20.15,False
7,2013-08-08,31.0,False
8,2013-08-09,25.419999999999998,False
9,2013-08-10,16.43,False
10,2013-08-11,12.09,False
11,2013-08-12,31.0,False
12,2013-08-13,25.73,False
13,2013-08-14,20.77,False
14,2013-08-15,24.49,False
15,2013-08-16,19.53,False
16,2013-08-17,16.12,False
17,2013-08-18,18.91,False
18,2013-08-19,18.91,False
19,2013-08-20,23.87,False
20,2013-08-21,21.39,False
21,2013-08-22,19.84,False
22,2013-08-23,23.25,False
23,2013-08-24,21.08,False
24,2013-08-25,15.5,False
25,2013-08-26,28.52,False
26,2013-08-27,26.66,False
27,2013-08-28,26.66,False
28,2013-08-29,20.46,False
29,2013-08-30,21.39,False
30,2013-08-31,21.39,False
0,2013-09-01,14.7,False
1,2013-09-02,12.6,False
2,2013-09-03,27.3,False
3,2013-09-04,15.12,False
4,2013-09-05,24.36,False
5,2013-09-06,21.419999999999998,False
6,2013-09-07,11.76,False
7,2013-09-08,21.84,False
8,2013-09-09,17.64,False
9,2013-09-10,18.9,False
10,2013-09-11,26.459999999999997,False
11,2013-09-12,18.48,False
12,2013-09-13,22.259999999999998,False
13,2013-09-14,24.779999999999998,False
14,2013-09-15,17.64,False
15,2013-09-16,30.66,False
16,2013-09-17,22.68,False
17,2013-09-18,19.74,False
18,2013-09-19,39.48,False
19,2013-09-20,33.18,False
20,2013-09-21,42.0,False
21,2013-09-22,22.259999999999998,False
22,2013-09-23,31.08,False
23,2013-09-24,33.18,False
24,2013-09-25,30.24,False
25,2013-09-26,24.36,False
26,2013-09-27,30.66,False
27,2013-09-28,18.06,False
28,2013-09-29,31.5,False
29,2013-09-30,31.5,False
0,2013-10-01,46.08,False
1,2013-10-02,32.16,False
2,2013-10-03,33.6,False
3,2013-10-04,26.88,False
4,2013-10-05,28.799999999999997,False
5,2013-10-06,35.04,False
6,2013-10-07,37.44,False
7,2013-10-08,24.96,False
8,2013-10-09,40.32,False
9,2013-10-10,35.04,False
10,2013-10-11,28.799999999999997,False
11,2013-10-12,24.96,False
12,2013-10-13,32.16,False
13,2013-10-14,37.44,False
14,2013-10-15,34.08,False
15,2013-10-16,33.6,False
16,2013-10-17,48.0,False
17,2013-10-18,45.12,False
18,2013-10-19,29.279999999999998,False
19,2013-10-20,32.64,False
20,2013-10-21,34.08,False
21,2013-10-22,23.04,False
22,2013-10-23,35.04,False
23,2013-10-24,31.68,False
24,2013-10-25,30.24,False
25,2013-10-26,26.88,False
26,2013-10-27,27.84,False
27,2013-10-28,46.559999999999995,False
28,2013-10-29,34.56,False
29,2013-10-30,26.88,False
30,2013-10-31,43.68,False
0,2013-11-01,34.65,False
1,2013-11-02,23.31,False
2,2013-11-03,27.72,False
3,2013-11-04,44.1,False
4,2013-11-05,33.39,False
5,2013-11-06,30.87,False
6,2013-11-07,42.84,False
7,2013-11-08,37.17,False
8,2013-11-09,25.830000000000002,False
9,2013-11-10,27.09,False
10,2013-11-11,41.58,False
11,2013-11-12,46.62,False
12,2013-11-13,35.910000000000004,False
13,2013-11-14,43.47,False
14,2013-11-15,60.480000000000004,False
15,2013-11-16,33.39,False
16,2013-11-17,45.99,False
17,2013-11-18,63.0,False
18,2013-11-19,46.62,False
19,2013-11-20,50.4,False
20,2013-11-21,52.92,False
21,2013-11-22,42.21,False
22,2013-11-23,47.88,False
23,2013-11-24,43.47,False
24,2013-11-25,63.0,False
25,2013-11-26,56.7,False
26,2013-11-27,32.13,False
27,2013-11-28,42.21,False
28,2013-11-29,61.11,False
29,2013-11-30,52.92,False
0,2013-12-01,44.85,False
1,2013-12-02,65.0,False
2,2013-12-03,53.95,False
3,2013-12-04,55.9,False
4,2013-12-05,48.1,False
5,2013-12-06,55.9,False
6,2013-12-07,53.95,False
7,2013-12-08,61.1,False
8,2013-12-09,63.7,False
9,2013-12-10,63.7,False
10,2013-12-11,55.25,False
11,2013-12-12,65.0,False
12,2013-12-13,59.800000000000004,False
13,2013-12-14,36.4,False
14,2013-12-15,35.1,False
15,2013-12-16,42.9,False
16,2013-12-17,34.45,False
17,2013-12-18,37.050000000000004,False
18,2013-12-19,35.1,False
19,2013-12-20,33.15,False
20,2013-12-21,23.400000000000002,False
21,2013-12-22,25.35,False
22,2013-12-23,25.35,False
23,2013-12-24,40.300000000000004,False
24,2013-12-25,15.600000000000001,False
25,2013-12-26,29.900000000000002,False
26,2013-12-27,30.55,False
27,2013-12-28,24.7,False
28,2013-12-29,24.05,False
29,2013-12-30,24.7,False
30,2013-12-31,34.45,False
0,2014-01-01,26.52,False
1,2014-01-02,26.52,False
2,2014-01-03,24.18,False
3,2014-01-04,27.3,False
4,2014-01-05,25.35,False
5,2014-01-06,17.55,False
6,2014-01-07,23.400000000000002,False
7,2014-01-08,25.35,False
8,2014-01-09,23.400000000000002,False
9,2014-01-10,34.71,False
10,2014-01-11,25.740000000000002,False
11,2014-01-12,22.62,False
12,2014-01-13,33.54,False
13,2014-01-14,34.32,False
14,2014-01-15,24.96,False
15,2014-01-16,30.810000000000002,False
16,2014-01-17,31.98,False
17,2014-01-18,26.52,False
18,2014-01-19,28.470000000000002,False
19,2014-01-20,38.61,False
20,2014-01-21,28.080000000000002,False
21,2014-01-22,25.35,False
22,2014-01-23,30.810000000000002,False
23,2014-01-24,27.69,False
24,2014-01-25,26.130000000000003,False
25,2014-01-26,28.470000000000002,False
26,2014-01-27,29.25,False
27,2014-01-28,30.810000000000002,False
28,2014-01-29,37.83,False
29,2014-01-30,34.71,False
30,2014-01-31,39.0,False
0,2014-02-01,29.12,False
1,2014-02-02,27.04,False
2,2014-02-03,47.84,False
3,2014-02-04,43.160000000000004,False
4,2014-02-05,29.64,False
5,2014-02-06,35.36,False
6,2014-02-07,28.6,False
7,2014-02-08,33.28,False
8,2014-02-09,32.24,False
9,2014-02-10,49.92,False
10,2014-02-11,38.480000000000004,False
11,2014-02-12,36.92,False
12,2014-02-13,33.800000000000004,False
13,2014-02-14,29.64,False
14,2014-02-15,26.52,False
15,2014-02-16,35.88,False
16,2014-02-17,29.12,False
17,2014-02-18,43.68,False
18,2014-02-19,41.6,False
19,2014-02-20,52.0,False
20,2014-02-21,48.36,False
21,2014-02-22,35.88,False
22,2014-02-23,40.04,False
23,2014-02-24,39.0,False
24,2014-02-25,46.800000000000004,False
25,2014-02-26,41.6,False
26,2014-02-27,42.64,False
27,2014-02-28,40.56,False
0,2014-03-01,42.14,False
1,2014-03-02,30.38,False
2,2014-03-03,42.14,False
3,2014-03-04,33.32,False
4,2014-03-05,45.08,False
5,2014-03-06,40.18,False
6,2014-03-07,43.12,False
7,2014-03-08,22.05,False
8,2014-03-09,38.71,False
9,2014-03-10,48.019999999999996,False
10,2014-03-11,32.339999999999996,False
11,2014-03-12,37.24,False
12,2014-03-13,38.22,False
13,2014-03-14,24.5,False
