,date,SBUX stock,isPartial
28,2013-05-29,8.280000000000001,False
29,2013-05-30,8.51,False
30,2013-05-31,4.37,False
0,2013-06-01,5.94,False
1,2013-06-02,8.58,False
2,2013-06-03,9.68,False
3,2013-06-04,4.84,False
4,2013-06-05,11.22,False
5,2013-06-06,9.9,False
6,2013-06-07,10.12,False
7,2013-06-08,17.82,False
8,2013-06-09,0.0,False
9,2013-06-10,14.3,False
10,2013-06-11,7.92,False
11,2013-06-12,14.52,False
12,2013-06-13,22.0,False
13,2013-06-14,13.64,False
14,2013-06-15,11.88,False
15,2013-06-16,0.0,False
16,2013-06-17,4.84,False
17,2013-06-18,9.68,False
18,2013-06-19,20.9,False
19,2013-06-20,14.96,False
20,2013-06-21,7.92,False
21,2013-06-22,5.94,False
22,2013-06-23,5.94,False
23,2013-06-24,4.84,False
24,2013-06-25,7.26,False
25,2013-06-26,12.98,False
26,2013-06-27,13.2,False
27,2013-06-28,8.58,False
28,2013-06-29,0.0,False
29,2013-06-30,5.94,False
0,2013-07-01,7.000000000000001,False
1,2013-07-02,17.360000000000003,False
2,2013-07-03,10.080000000000002,False
3,2013-07-04,4.48,False
4,2013-07-05,15.680000000000001,False
5,2013-07-06,10.920000000000002,False
6,2013-07-07,0.0,False
7,2013-07-08,6.44,False
8,2013-07-09,11.48,False
9,2013-07-10,10.080000000000002,False
10,2013-07-11,7.280000000000001,False
11,2013-07-12,7.000000000000001,False
12,2013-07-13,10.64,False
13,2013-07-14,5.32,False
14,2013-07-15,10.080000000000002,False
15,2013-07-16,11.48,False
16,2013-07-17,17.64,False
17,2013-07-18,13.440000000000001,False
18,2013-07-19,10.64,False
19,2013-07-20,5.32,False
20,2013-07-21,5.32,False
21,2013-07-22,4.48,False
22,2013-07-23,14.840000000000002,False
23,2013-07-24,21.840000000000003,False
24,2013-07-25,28.000000000000004,False
25,2013-07-26,21.28,False
26,2013-07-27,15.96,False
27,2013-07-28,15.680000000000001,False
28,2013-07-29,14.280000000000001,False
29,2013-07-30,12.600000000000001,False
30,2013-07-31,10.080000000000002,False
0,2013-08-01,19.17,False
1,2013-08-02,9.99,False
2,2013-08-03,5.94,False
3,2013-08-04,8.64,False
4,2013-08-05,14.31,False
5,2013-08-06,9.450000000000001,False
6,2013-08-07,7.290000000000001,False
7,2013-08-08,27.0,False
8,2013-08-09,9.99,False
9,2013-08-10,5.94,False
10,2013-08-11,0.0,False
11,2013-08-12,4.59,False
12,2013-08-13,9.450000000000001,False
13,2013-08-14,14.31,False
14,2013-08-15,12.690000000000001,False
15,2013-08-16,7.5600000000000005,False
16,2013-08-17,5.67,False
17,2013-08-18,5.67,False
18,2013-08-19,7.0200000000000005,False
19,2013-08-20,11.610000000000001,False
20,2013-08-21,7.0200000000000005,False
21,2013-08-22,21.330000000000002,False
22,2013-08-23,19.44,False
23,2013-08-24,8.370000000000001,False
24,2013-08-25,5.67,False
25,2013-08-26,13.770000000000001,False
26,2013-08-27,18.09,False
27,2013-08-28,15.66,False
28,2013-08-29,11.610000000000001,False
29,2013-08-30,14.31,False
30,2013-08-31,5.4,False
0,2013-09-01,4.35,False
1,2013-09-02,4.93,False
2,2013-09-03,7.249999999999999,False
3,2013-09-04,15.659999999999998,False
4,2013-09-05,8.7,False
5,2013-09-06,9.569999999999999,False
6,2013-09-07,6.67,False
7,2013-09-08,6.38,False
8,2013-09-09,17.98,False
9,2013-09-10,14.209999999999999,False
10,2013-09-11,10.729999999999999,False
11,2013-09-12,28.999999999999996,False
12,2013-09-13,9.86,False
13,2013-09-14,6.38,False
14,2013-09-15,0.0,False
15,2013-09-16,12.469999999999999,False
16,2013-09-17,8.12,False
17,2013-09-18,9.569999999999999,False
18,2013-09-19,13.34,False
19,2013-09-20,6.38,False
20,2013-09-21,12.76,False
21,2013-09-22,8.41,False
22,2013-09-23,13.049999999999999,False
23,2013-09-24,16.529999999999998,False
24,2013-09-25,4.93,False
25,2013-09-26,12.18,False
26,2013-09-27,12.76,False
27,2013-09-28,4.35,False
28,2013-09-29,6.38,False
29,2013-09-30,11.889999999999999,False
0,2013-10-01,5.44,False
1,2013-10-02,7.48,False
2,2013-10-03,17.0,False
3,2013-10-04,17.34,False
4,2013-10-05,6.460000000000001,False
5,2013-10-06,4.42,False
6,2013-10-07,10.88,False
7,2013-10-08,10.88,False
8,2013-10-09,11.22,False
9,2013-10-10,9.520000000000001,False
10,2013-10-11,13.600000000000001,False
11,2013-10-12,6.800000000000001,False
12,2013-10-13,4.42,False
13,2013-10-14,9.520000000000001,False
14,2013-10-15,12.920000000000002,False
15,2013-10-16,22.44,False
16,2013-10-17,7.48,False
17,2013-10-18,9.860000000000001,False
18,2013-10-19,4.42,False
19,2013-10-20,4.42,False
20,2013-10-21,18.02,False
21,2013-10-22,10.88,False
22,2013-10-23,16.32,False
23,2013-10-24,12.920000000000002,False
24,2013-10-25,15.3,False
25,2013-10-26,4.42,False
26,2013-10-27,4.08,False
27,2013-10-28,12.58,False
28,2013-10-29,18.02,False
29,2013-10-30,20.060000000000002,False
30,2013-10-31,34.0,False
0,2013-11-01,18.13,False
1,2013-11-02,5.18,False
2,2013-11-03,4.81,False
3,2013-11-04,12.58,False
4,2013-11-05,22.57,False
5,2013-11-06,16.28,False
6,2013-11-07,20.72,False
7,2013-11-08,17.39,False
8,2013-11-09,14.8,False
9,2013-11-10,4.81,False
10,2013-11-11,4.07,False
11,2013-11-12,26.64,False
12,2013-11-13,37.0,False
13,2013-11-14,12.58,False
14,2013-11-15,12.95,False
15,2013-11-16,7.4,False
16,2013-11-17,7.03,False
17,2013-11-18,14.43,False
18,2013-11-19,9.99,False
19,2013-11-20,6.29,False
20,2013-11-21,14.43,False
21,2013-11-22,23.68,False
22,2013-11-23,4.81,False
23,2013-11-24,9.62,False
24,2013-11-25,9.99,False
25,2013-11-26,18.13,False
26,2013-11-27,18.5,False
27,2013-11-28,4.4399999999999995,False
28,2013-11-29,6.66,False
29,2013-11-30,19.61,False
0,2013-12-01,8.25,False
1,2013-12-02,17.490000000000002,False
2,2013-12-03,31.68,False
3,2013-12-04,17.82,False
4,2013-12-05,14.520000000000001,False
5,2013-12-06,7.590000000000001,False
6,2013-12-07,12.870000000000001,False
7,2013-12-08,8.58,False
8,2013-12-09,21.12,False
9,2013-12-10,28.71,False
10,2013-12-11,29.040000000000003,False
11,2013-12-12,33.0,False
12,2013-12-13,23.1,False
13,2013-12-14,17.490000000000002,False
14,2013-12-15,8.58,False
15,2013-12-16,25.080000000000002,False
16,2013-12-17,29.37,False
17,2013-12-18,18.48,False
18,2013-12-19,15.180000000000001,False
19,2013-12-20,16.17,False
20,2013-12-21,8.91,False
21,2013-12-22,0.0,False
22,2013-12-23,20.130000000000003,False
23,2013-12-24,26.73,False
24,2013-12-25,0.0,False
25,2013-12-26,24.75,False
26,2013-12-27,32.01,False
27,2013-12-28,26.400000000000002,False
28,2013-12-29,13.200000000000001,False
29,2013-12-30,31.68,False
30,2013-12-31,22.11,False
0,2014-01-01,3.74,False
1,2014-01-02,8.84,False
2,2014-01-03,11.9,False
3,2014-01-04,3.4000000000000004,False
4,2014-01-05,0.0,False
5,2014-01-06,4.42,False
6,2014-01-07,11.22,False
7,2014-01-08,5.44,False
8,2014-01-09,9.860000000000001,False
9,2014-01-10,2.72,False
10,2014-01-11,0.0,False
11,2014-01-12,4.760000000000001,False
12,2014-01-13,6.800000000000001,False
13,2014-01-14,6.800000000000001,False
14,2014-01-15,16.66,False
15,2014-01-16,11.22,False
16,2014-01-17,4.42,False
17,2014-01-18,3.4000000000000004,False
18,2014-01-19,3.06,False
19,2014-01-20,6.800000000000001,False
20,2014-01-21,12.24,False
21,2014-01-22,12.24,False
22,2014-01-23,23.12,False
23,2014-01-24,34.0,False
24,2014-01-25,4.760000000000001,False
25,2014-01-26,3.06,False
26,2014-01-27,5.44,False
27,2014-01-28,11.9,False
28,2014-01-29,12.24,False
29,2014-01-30,9.520000000000001,False
30,2014-01-31,11.22,False
0,2014-02-01,14.399999999999999,False
1,2014-02-02,5.7,False
2,2014-02-03,19.2,False
3,2014-02-04,21.9,False
4,2014-02-05,14.399999999999999,False
5,2014-02-06,30.0,False
6,2014-02-07,19.5,False
7,2014-02-08,14.1,False
8,2014-02-09,5.7,False
9,2014-02-10,7.199999999999999,False
10,2014-02-11,12.0,False
11,2014-02-12,24.0,False
12,2014-02-13,19.5,False
13,2014-02-14,10.2,False
14,2014-02-15,14.399999999999999,False
15,2014-02-16,8.4,False
16,2014-02-17,14.399999999999999,False
17,2014-02-18,19.2,False
18,2014-02-19,19.5,False
19,2014-02-20,9.9,False
20,2014-02-21,20.099999999999998,False
21,2014-02-22,5.7,False
22,2014-02-23,5.7,False
23,2014-02-24,14.399999999999999,False
24,2014-02-25,26.4,False
25,2014-02-26,16.8,False
26,2014-02-27,9.6,False
27,2014-02-28,18.0,False
0,2014-03-01,5.720000000000001,False
1,2014-03-02,8.32,False
2,2014-03-03,11.96,False
3,2014-03-04,24.18,False
4,2014-03-05,23.92,False
5,2014-03-06,11.96,False
6,2014-03-07,17.68,False
7,2014-03-08,5.720000000000001,False
8,2014-03-09,0.0,False
9,2014-03-10,9.620000000000001,False
10,2014-03-11,26.0,False
11,2014-03-12,16.64,False
12,2014-03-13,11.96,False
13,2014-03-14,20.02,False
14,2014-03-15,16.900000000000002,False
15,2014-03-16,11.18,False
16,2014-03-17,9.620000000000001,False
17,2014-03-18,14.3,False
18,2014-03-19,14.3,False
19,2014-03-20,23.92,False
20,2014-03-21,22.36,False
21,2014-03-22,5.720000000000001,False
22,2014-03-23,16.12,False
23,2014-03-24,11.700000000000001,False
24,2014-03-25,11.700000000000001,False
25,2014-03-26,9.36,False
26,2014-03-27,21.580000000000002,False
27,2014-03-28,0.0,False
28,2014-03-29,8.32,False
29,2014-03-30,0.0,False
30,2014-03-31,11.700000000000001,False
0,2014-04-01,10.24,False
1,2014-04-02,9.28,False
2,2014-04-03,15.68,False
3,2014-04-04,17.6,False
4,2014-04-05,6.08,False
5,2014-04-06,9.28,False
6,2014-04-07,15.68,False
7,2014-04-08,12.8,False
8,2014-04-09,15.68,False
9,2014-04-10,12.16,False
10,2014-04-11,7.04,False
11,2014-04-12,0.0,False
12,2014-04-13,0.0,False
13,2014-04-14,17.28,False
14,2014-04-15,15.68,False
15,2014-04-16,13.44,False
16,2014-04-17,14.72,False
17,2014-04-18,18.240000000000002,False
18,2014-04-19,0.0,False
19,2014-04-20,0.0,False
20,2014-04-21,5.76,False
21,2014-04-22,16.96,False
22,2014-04-23,15.68,False
23,2014-04-24,12.16,False
24,2014-04-25,32.0,False
25,2014-04-26,4.8,False
26,2014-04-27,7.68,False
27,2014-04-28,10.56,False
28,2014-04-29,5.76,False
29,2014-04-30,11.84,False
0,2014-05-01,26.0,False
1,2014-05-02,16.900000000000002,False
2,2014-05-03,8.32,False
3,2014-05-04,0.0,False
4,2014-05-05,12.74,False
5,2014-05-06,12.48,False
6,2014-05-07,14.040000000000001,False
7,2014-05-08,16.64,False
8,2014-05-09,16.38,False
9,2014-05-10,5.46,False
10,2014-05-11,5.46,False
11,2014-05-12,15.34,False
12,2014-05-13,23.14,False
13,2014-05-14,18.72,False
14,2014-05-15,17.42,False
15,2014-05-16,13.0,False
16,2014-05-17,14.3,False
17,2014-05-18,5.720000000000001,False
18,2014-05-19,7.800000000000001,False
19,2014-05-20,17.16,False
20,2014-05-21,8.58,False
21,2014-05-22,12.22,False
22,2014-05-23,14.3,False
23,2014-05-24,0.0,False
24,2014-05-25,6.24,False
25,2014-05-26,7.800000000000001,False
26,2014-05-27,21.84,False
27,2014-05-28,8.58,False
28,2014-05-29,15.860000000000001,False
29,2014-05-30,14.56,False
