,date,SIRI stock,isPartial
29,2013-08-30,23.43,False
30,2013-08-31,7.92,False
0,2013-09-01,3.5,False
1,2013-09-02,11.899999999999999,False
2,2013-09-03,22.75,False
3,2013-09-04,18.2,False
4,2013-09-05,14.35,False
5,2013-09-06,26.25,False
6,2013-09-07,5.25,False
7,2013-09-08,3.5,False
8,2013-09-09,24.5,False
9,2013-09-10,24.15,False
10,2013-09-11,22.4,False
11,2013-09-12,35.0,False
12,2013-09-13,21.7,False
13,2013-09-14,13.649999999999999,False
14,2013-09-15,6.6499999999999995,False
15,2013-09-16,25.9,False
16,2013-09-17,18.549999999999997,False
17,2013-09-18,18.9,False
18,2013-09-19,28.349999999999998,False
19,2013-09-20,31.849999999999998,False
20,2013-09-21,12.25,False
21,2013-09-22,8.75,False
22,2013-09-23,21.7,False
23,2013-09-24,28.0,False
24,2013-09-25,30.45,False
25,2013-09-26,25.9,False
26,2013-09-27,18.9,False
27,2013-09-28,5.25,False
28,2013-09-29,5.6,False
29,2013-09-30,15.749999999999998,False
0,2013-10-01,17.6,False
1,2013-10-02,19.6,False
2,2013-10-03,33.6,False
3,2013-10-04,19.6,False
4,2013-10-05,7.2,False
5,2013-10-06,12.0,False
6,2013-10-07,18.8,False
7,2013-10-08,16.0,False
8,2013-10-09,20.400000000000002,False
9,2013-10-10,35.6,False
10,2013-10-11,18.8,False
11,2013-10-12,6.4,False
12,2013-10-13,7.6000000000000005,False
13,2013-10-14,16.400000000000002,False
14,2013-10-15,17.2,False
15,2013-10-16,22.400000000000002,False
16,2013-10-17,23.6,False
17,2013-10-18,30.400000000000002,False
18,2013-10-19,11.200000000000001,False
19,2013-10-20,8.8,False
20,2013-10-21,24.400000000000002,False
21,2013-10-22,25.200000000000003,False
22,2013-10-23,33.6,False
23,2013-10-24,34.800000000000004,False
24,2013-10-25,40.0,False
25,2013-10-26,14.0,False
26,2013-10-27,2.8000000000000003,False
27,2013-10-28,24.8,False
28,2013-10-29,36.0,False
29,2013-10-30,20.400000000000002,False
30,2013-10-31,19.200000000000003,False
0,2013-11-01,30.03,False
1,2013-11-02,9.57,False
2,2013-11-03,3.3000000000000003,False
3,2013-11-04,24.42,False
4,2013-11-05,24.09,False
5,2013-11-06,26.07,False
6,2013-11-07,24.75,False
7,2013-11-08,27.720000000000002,False
8,2013-11-09,10.56,False
9,2013-11-10,10.23,False
10,2013-11-11,26.07,False
11,2013-11-12,21.45,False
12,2013-11-13,19.470000000000002,False
13,2013-11-14,20.790000000000003,False
14,2013-11-15,33.0,False
15,2013-11-16,13.860000000000001,False
16,2013-11-17,10.23,False
17,2013-11-18,22.11,False
18,2013-11-19,20.130000000000003,False
19,2013-11-20,22.11,False
20,2013-11-21,22.44,False
21,2013-11-22,20.130000000000003,False
22,2013-11-23,7.92,False
23,2013-11-24,4.95,False
24,2013-11-25,15.180000000000001,False
25,2013-11-26,26.73,False
26,2013-11-27,27.060000000000002,False
27,2013-11-28,9.24,False
28,2013-11-29,13.530000000000001,False
29,2013-11-30,11.55,False
0,2013-12-01,6.51,False
1,2013-12-02,20.77,False
2,2013-12-03,27.9,False
3,2013-12-04,15.5,False
4,2013-12-05,25.73,False
5,2013-12-06,21.7,False
6,2013-12-07,9.61,False
7,2013-12-08,4.65,False
8,2013-12-09,19.53,False
9,2013-12-10,16.74,False
10,2013-12-11,24.8,False
11,2013-12-12,23.25,False
12,2013-12-13,15.81,False
13,2013-12-14,11.78,False
14,2013-12-15,5.89,False
15,2013-12-16,25.73,False
16,2013-12-17,30.38,False
17,2013-12-18,22.32,False
18,2013-12-19,18.91,False
19,2013-12-20,20.77,False
20,2013-12-21,11.16,False
21,2013-12-22,6.2,False
22,2013-12-23,21.08,False
23,2013-12-24,18.29,False
24,2013-12-25,5.27,False
25,2013-12-26,28.52,False
26,2013-12-27,31.0,False
27,2013-12-28,19.22,False
28,2013-12-29,4.96,False
29,2013-12-30,18.29,False
30,2013-12-31,30.07,False
0,2014-01-01,12.4,False
1,2014-01-02,24.0,False
2,2014-01-03,24.0,False
3,2014-01-04,16.8,False
4,2014-01-05,4.0,False
5,2014-01-06,33.6,False
6,2014-01-07,40.0,False
7,2014-01-08,29.200000000000003,False
8,2014-01-09,29.6,False
9,2014-01-10,32.0,False
10,2014-01-11,4.0,False
11,2014-01-12,6.800000000000001,False
12,2014-01-13,22.0,False
13,2014-01-14,30.0,False
14,2014-01-15,30.400000000000002,False
15,2014-01-16,20.0,False
16,2014-01-17,18.0,False
17,2014-01-18,4.0,False
18,2014-01-19,5.2,False
19,2014-01-20,11.600000000000001,False
20,2014-01-21,22.0,False
21,2014-01-22,11.600000000000001,False
22,2014-01-23,31.200000000000003,False
23,2014-01-24,18.0,False
24,2014-01-25,10.8,False
25,2014-01-26,5.6000000000000005,False
26,2014-01-27,17.2,False
27,2014-01-28,19.200000000000003,False
28,2014-01-29,19.6,False
29,2014-01-30,14.0,False
30,2014-01-31,16.8,False
0,2014-02-01,8.7,False
1,2014-02-02,10.5,False
2,2014-02-03,18.0,False
3,2014-02-04,30.0,False
4,2014-02-05,19.5,False
5,2014-02-06,21.3,False
6,2014-02-07,15.0,False
7,2014-02-08,11.4,False
8,2014-02-09,7.199999999999999,False
9,2014-02-10,20.099999999999998,False
10,2014-02-11,19.2,False
11,2014-02-12,20.099999999999998,False
12,2014-02-13,22.8,False
13,2014-02-14,18.0,False
14,2014-02-15,10.799999999999999,False
15,2014-02-16,5.7,False
16,2014-02-17,7.5,False
17,2014-02-18,19.5,False
18,2014-02-19,18.9,False
19,2014-02-20,17.4,False
20,2014-02-21,10.2,False
21,2014-02-22,11.4,False
22,2014-02-23,8.7,False
23,2014-02-24,15.899999999999999,False
24,2014-02-25,21.599999999999998,False
25,2014-02-26,12.0,False
26,2014-02-27,22.8,False
27,2014-02-28,19.8,False
0,2014-03-01,7.4399999999999995,False
1,2014-03-02,8.37,False
2,2014-03-03,21.08,False
3,2014-03-04,22.32,False
4,2014-03-05,27.59,False
5,2014-03-06,23.87,False
6,2014-03-07,24.18,False
7,2014-03-08,4.96,False
8,2014-03-09,6.51,False
9,2014-03-10,14.879999999999999,False
10,2014-03-11,31.0,False
11,2014-03-12,31.0,False
12,2014-03-13,18.6,False
13,2014-03-14,25.11,False
14,2014-03-15,9.61,False
15,2014-03-16,11.16,False
16,2014-03-17,24.8,False
17,2014-03-18,19.22,False
18,2014-03-19,22.01,False
19,2014-03-20,24.18,False
20,2014-03-21,26.66,False
21,2014-03-22,6.51,False
22,2014-03-23,8.37,False
23,2014-03-24,17.98,False
24,2014-03-25,30.38,False
25,2014-03-26,17.36,False
26,2014-03-27,25.11,False
27,2014-03-28,23.87,False
28,2014-03-29,5.27,False
29,2014-03-30,8.68,False
30,2014-03-31,20.77,False
0,2014-04-01,16.200000000000003,False
1,2014-04-02,21.330000000000002,False
2,2014-04-03,27.0,False
3,2014-04-04,15.930000000000001,False
4,2014-04-05,11.07,False
5,2014-04-06,4.050000000000001,False
6,2014-04-07,15.120000000000001,False
7,2014-04-08,14.040000000000001,False
8,2014-04-09,17.55,False
9,2014-04-10,25.110000000000003,False
10,2014-04-11,21.330000000000002,False
11,2014-04-12,5.67,False
12,2014-04-13,11.34,False
13,2014-04-14,12.96,False
14,2014-04-15,18.900000000000002,False
15,2014-04-16,21.6,False
16,2014-04-17,21.6,False
17,2014-04-18,15.120000000000001,False
18,2014-04-19,7.290000000000001,False
19,2014-04-20,2.97,False
20,2014-04-21,11.610000000000001,False
21,2014-04-22,14.040000000000001,False
22,2014-04-23,14.040000000000001,False
23,2014-04-24,17.82,False
24,2014-04-25,17.55,False
25,2014-04-26,5.67,False
26,2014-04-27,6.75,False
27,2014-04-28,19.71,False
28,2014-04-29,13.770000000000001,False
29,2014-04-30,20.25,False
0,2014-05-01,15.64,False
1,2014-05-02,20.01,False
2,2014-05-03,11.5,False
3,2014-05-04,4.37,False
4,2014-05-05,21.62,False
5,2014-05-06,7.36,False
6,2014-05-07,13.110000000000001,False
7,2014-05-08,16.330000000000002,False
8,2014-05-09,10.120000000000001,False
9,2014-05-10,5.29,False
10,2014-05-11,6.44,False
11,2014-05-12,12.190000000000001,False
12,2014-05-13,10.120000000000001,False
13,2014-05-14,10.35,False
14,2014-05-15,11.96,False
15,2014-05-16,13.110000000000001,False
16,2014-05-17,6.67,False
17,2014-05-18,4.37,False
18,2014-05-19,16.1,False
19,2014-05-20,14.030000000000001,False
20,2014-05-21,15.180000000000001,False
21,2014-05-22,14.030000000000001,False
22,2014-05-23,14.49,False
23,2014-05-24,2.99,False
24,2014-05-25,8.97,False
25,2014-05-26,5.0600000000000005,False
26,2014-05-27,23.0,False
27,2014-05-28,12.190000000000001,False
