,date,DIS stock,isPartial
27,2012-09-28,1.68,False
28,2012-09-29,0.0,False
29,2012-09-30,1.8599999999999999,False
0,2012-10-01,0.77,False
1,2012-10-02,0.77,False
2,2012-10-03,0.8400000000000001,False
3,2012-10-04,2.3800000000000003,False
4,2012-10-05,0.8400000000000001,False
5,2012-10-06,0.0,False
6,2012-10-07,0.0,False
7,2012-10-08,1.54,False
8,2012-10-09,1.54,False
9,2012-10-10,1.1900000000000002,False
10,2012-10-11,0.0,False
11,2012-10-12,1.61,False
12,2012-10-13,0.0,False
13,2012-10-14,0.9100000000000001,False
14,2012-10-15,0.77,False
15,2012-10-16,1.54,False
16,2012-10-17,0.77,False
17,2012-10-18,1.54,False
18,2012-10-19,0.77,False
19,2012-10-20,0.9100000000000001,False
20,2012-10-21,0.0,False
21,2012-10-22,0.77,False
22,2012-10-23,0.77,False
23,2012-10-24,1.54,False
24,2012-10-25,0.77,False
25,2012-10-26,2.45,False
26,2012-10-27,0.9800000000000001,False
27,2012-10-28,0.0,False
28,2012-10-29,0.77,False
29,2012-10-30,0.0,False
30,2012-10-31,7.000000000000001,False
0,2012-11-01,11.0,False
1,2012-11-02,3.74,False
2,2012-11-03,4.07,False
3,2012-11-04,3.96,False
4,2012-11-05,6.82,False
5,2012-11-06,6.71,False
6,2012-11-07,0.0,False
7,2012-11-08,6.82,False
8,2012-11-09,0.0,False
9,2012-11-10,0.0,False
10,2012-11-11,0.0,False
11,2012-11-12,3.41,False
12,2012-11-13,6.82,False
13,2012-11-14,10.23,False
14,2012-11-15,10.45,False
15,2012-11-16,0.0,False
16,2012-11-17,8.03,False
17,2012-11-18,3.96,False
18,2012-11-19,0.0,False
19,2012-11-20,0.0,False
20,2012-11-21,10.34,False
21,2012-11-22,0.0,False
22,2012-11-23,0.0,False
23,2012-11-24,8.14,False
24,2012-11-25,0.0,False
25,2012-11-26,6.49,False
26,2012-11-27,9.9,False
27,2012-11-28,3.3,False
28,2012-11-29,3.3,False
29,2012-11-30,0.0,False
0,2012-12-01,2.0300000000000002,False
1,2012-12-02,3.99,False
2,2012-12-03,1.6800000000000002,False
3,2012-12-04,3.3600000000000003,False
4,2012-12-05,4.2700000000000005,False
5,2012-12-06,7.000000000000001,False
6,2012-12-07,5.390000000000001,False
7,2012-12-08,2.1,False
8,2012-12-09,0.0,False
9,2012-12-10,3.3600000000000003,False
10,2012-12-11,4.2,False
11,2012-12-12,4.340000000000001,False
12,2012-12-13,2.5900000000000003,False
13,2012-12-14,2.66,False
14,2012-12-15,2.0300000000000002,False
15,2012-12-16,2.0300000000000002,False
16,2012-12-17,2.5900000000000003,False
17,2012-12-18,1.7500000000000002,False
18,2012-12-19,1.7500000000000002,False
19,2012-12-20,5.32,False
20,2012-12-21,1.8900000000000001,False
21,2012-12-22,2.1,False
22,2012-12-23,2.1700000000000004,False
23,2012-12-24,2.1700000000000004,False
24,2012-12-25,2.31,False
25,2012-12-26,1.9600000000000002,False
26,2012-12-27,1.8900000000000001,False
27,2012-12-28,2.87,False
28,2012-12-29,0.0,False
29,2012-12-30,4.2,False
30,2012-12-31,5.250000000000001,False
0,2013-01-01,0.0,False
1,2013-01-02,3.0,False
2,2013-01-03,0.0,False
3,2013-01-04,1.5,False
4,2013-01-05,3.3000000000000003,False
5,2013-01-06,0.0,False
6,2013-01-07,4.3,False
7,2013-01-08,10.0,False
8,2013-01-09,2.8000000000000003,False
9,2013-01-10,0.0,False
10,2013-01-11,1.5,False
11,2013-01-12,6.7,False
12,2013-01-13,1.6,False
13,2013-01-14,1.4000000000000001,False
14,2013-01-15,2.7,False
15,2013-01-16,2.8000000000000003,False
16,2013-01-17,5.6000000000000005,False
17,2013-01-18,5.800000000000001,False
18,2013-01-19,3.3000000000000003,False
19,2013-01-20,3.2,False
20,2013-01-21,2.7,False
21,2013-01-22,0.0,False
22,2013-01-23,1.4000000000000001,False
23,2013-01-24,2.8000000000000003,False
24,2013-01-25,2.9000000000000004,False
25,2013-01-26,4.9,False
26,2013-01-27,0.0,False
27,2013-01-28,1.4000000000000001,False
28,2013-01-29,2.7,False
29,2013-01-30,2.8000000000000003,False
30,2013-01-31,4.2,False
0,2013-02-01,6.2,False
1,2013-02-02,0.0,False
2,2013-02-03,0.0,False
3,2013-02-04,4.0,False
4,2013-02-05,2.0,False
5,2013-02-06,10.0,False
6,2013-02-07,8.1,False
7,2013-02-08,6.300000000000001,False
8,2013-02-09,2.4000000000000004,False
9,2013-02-10,4.800000000000001,False
10,2013-02-11,8.1,False
11,2013-02-12,6.1000000000000005,False
12,2013-02-13,5.9,False
13,2013-02-14,4.1000000000000005,False
14,2013-02-15,6.300000000000001,False
15,2013-02-16,2.3000000000000003,False
16,2013-02-17,2.3000000000000003,False
17,2013-02-18,5.9,False
18,2013-02-19,7.800000000000001,False
19,2013-02-20,2.0,False
20,2013-02-21,3.9000000000000004,False
21,2013-02-22,8.3,False
22,2013-02-23,0.0,False
23,2013-02-24,0.0,False
24,2013-02-25,0.0,False
25,2013-02-26,5.800000000000001,False
26,2013-02-27,7.800000000000001,False
27,2013-02-28,6.0,False
0,2013-03-01,1.5,False
1,2013-03-02,1.7000000000000002,False
2,2013-03-03,0.0,False
3,2013-03-04,2.9000000000000004,False
4,2013-03-05,5.7,False
5,2013-03-06,5.7,False
6,2013-03-07,2.9000000000000004,False
7,2013-03-08,3.0,False
8,2013-03-09,0.0,False
9,2013-03-10,1.7000000000000002,False
10,2013-03-11,1.4000000000000001,False
11,2013-03-12,4.2,False
12,2013-03-13,2.8000000000000003,False
13,2013-03-14,4.3,False
14,2013-03-15,4.4,False
15,2013-03-16,1.7000000000000002,False
16,2013-03-17,1.7000000000000002,False
17,2013-03-18,2.8000000000000003,False
18,2013-03-19,2.8000000000000003,False
19,2013-03-20,8.5,False
20,2013-03-21,10.0,False
21,2013-03-22,3.0,False
22,2013-03-23,3.3000000000000003,False
23,2013-03-24,0.0,False
24,2013-03-25,2.8000000000000003,False
25,2013-03-26,2.8000000000000003,False
26,2013-03-27,4.4,False
27,2013-03-28,3.0,False
28,2013-03-29,1.6,False
29,2013-03-30,0.0,False
30,2013-03-31,3.6,False
0,2013-04-01,4.8,False
1,2013-04-02,9.0,False
2,2013-04-03,6.75,False
3,2013-04-04,5.7,False
4,2013-04-05,9.45,False
5,2013-04-06,4.05,False
6,2013-04-07,5.3999999999999995,False
7,2013-04-08,3.3,False
8,2013-04-09,5.55,False
9,2013-04-10,11.4,False
10,2013-04-11,6.8999999999999995,False
11,2013-04-12,6.0,False
12,2013-04-13,5.55,False
13,2013-04-14,2.6999999999999997,False
14,2013-04-15,4.5,False
15,2013-04-16,6.75,False
16,2013-04-17,9.15,False
17,2013-04-18,9.15,False
18,2013-04-19,9.45,False
19,2013-04-20,2.6999999999999997,False
20,2013-04-21,5.3999999999999995,False
21,2013-04-22,6.75,False
22,2013-04-23,6.8999999999999995,False
23,2013-04-24,5.7,False
24,2013-04-25,8.25,False
25,2013-04-26,4.8,False
26,2013-04-27,10.95,False
27,2013-04-28,0.0,False
28,2013-04-29,7.949999999999999,False
29,2013-04-30,15.0,False
0,2013-05-01,8.8,False
1,2013-05-02,2.0,False
2,2013-05-03,4.2,False
3,2013-05-04,4.800000000000001,False
4,2013-05-05,2.4000000000000004,False
5,2013-05-06,14.200000000000001,False
6,2013-05-07,20.0,False
7,2013-05-08,16.2,False
8,2013-05-09,10.200000000000001,False
