"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 05, 2018","263.12","256.46","264.55","256.24","2.45M","1.94%"
"Mar 02, 2018","258.12","255.00","259.24","252.10","3.12M","0.52%"
"Mar 01, 2018","256.78","262.61","263.55","256.20","3.48M","-2.34%"
"Feb 28, 2018","262.93","269.14","269.49","262.57","3.10M","-1.87%"
"Feb 27, 2018","267.93","271.00","273.12","267.93","3.14M","-1.23%"
"Feb 26, 2018","271.26","267.50","271.78","266.77","2.75M","1.68%"
"Feb 23, 2018","266.77","263.00","266.98","262.40","2.51M","2.04%"
"Feb 22, 2018","261.43","264.40","266.32","260.72","2.68M","-0.75%"
"Feb 21, 2018","263.40","263.92","270.00","263.13","3.02M","-0.56%"
"Feb 20, 2018","264.89","266.89","268.85","263.31","2.62M","-1.02%"
"Feb 16, 2018","267.62","265.99","269.28","265.90","2.60M","-0.02%"
"Feb 15, 2018","267.68","265.76","268.00","262.91","3.52M","1.94%"
"Feb 14, 2018","262.58","255.00","262.71","254.48","3.79M","2.76%"
"Feb 13, 2018","255.53","252.01","256.40","250.58","2.70M","0.94%"
"Feb 12, 2018","253.16","251.15","256.15","248.82","3.69M","1.55%"
"Feb 09, 2018","249.30","249.62","251.67","239.29","5.98M","1.20%"
"Feb 08, 2018","246.35","257.93","258.78","246.05","4.17M","-4.18%"
"Feb 07, 2018","257.10","255.90","261.95","255.66","4.13M","-0.62%"
"Feb 06, 2018","258.70","244.21","258.75","242.11","6.74M","3.85%"
"Feb 05, 2018","249.11","257.51","263.30","241.50","6.53M","-4.20%"
"Feb 02, 2018","260.04","270.00","271.75","259.35","5.91M","-4.48%"
"Feb 01, 2018","272.23","266.15","272.59","266.00","3.39M","1.62%"
"Jan 31, 2018","267.89","268.55","270.00","266.33","3.71M","-0.39%"
"Jan 30, 2018","268.94","270.39","272.00","267.11","3.97M","-1.30%"
"Jan 29, 2018","272.48","269.04","273.79","268.81","3.88M","1.62%"
"Jan 26, 2018","268.14","267.49","269.00","266.05","3.54M","-0.33%"
"Jan 25, 2018","269.03","266.35","270.50","265.01","5.05M","1.26%"
"Jan 24, 2018","265.68","260.74","265.78","260.30","4.31M","2.15%"
"Jan 23, 2018","260.09","258.00","260.26","256.85","4.00M","-0.55%"
"Jan 22, 2018","261.52","255.45","262.87","255.19","5.26M","2.11%"
"Jan 19, 2018","256.12","251.00","256.14","250.26","4.64M","2.05%"
"Jan 18, 2018","250.97","254.49","254.54","250.60","4.98M","-1.06%"
"Jan 17, 2018","253.65","260.98","262.00","248.84","8.61M","-1.86%"
"Jan 16, 2018","258.46","259.25","261.77","256.40","4.45M","0.56%"
"Jan 12, 2018","257.03","255.75","257.30","254.09","2.85M","0.74%"
"Jan 11, 2018","255.13","255.75","255.89","252.97","2.42M","0.31%"
"Jan 10, 2018","254.33","255.00","255.15","252.35","2.93M","0.15%"
"Jan 09, 2018","253.94","252.80","255.60","252.62","2.64M","0.85%"
"Jan 08, 2018","251.81","254.75","255.18","251.62","2.94M","-1.45%"
"Jan 05, 2018","255.52","257.18","257.49","253.69","2.59M","-0.51%"
"Jan 04, 2018","256.83","255.23","259.72","254.32","2.58M","1.40%"
"Jan 03, 2018","253.29","255.48","256.14","253.22","2.99M","-0.93%"
