,date,ODP stock,isPartial
23,2013-07-24,0.0,False
24,2013-07-25,0.0,False
25,2013-07-26,0.0,False
26,2013-07-27,8.4,False
27,2013-07-28,0.0,False
28,2013-07-29,6.86,False
29,2013-07-30,8.96,False
30,2013-07-31,10.360000000000001,False
0,2013-08-01,0.0,False
1,2013-08-02,0.0,False
2,2013-08-03,0.0,False
3,2013-08-04,0.0,False
4,2013-08-05,0.0,False
5,2013-08-06,8.84,False
6,2013-08-07,9.01,False
7,2013-08-08,9.180000000000001,False
8,2013-08-09,9.520000000000001,False
9,2013-08-10,0.0,False
10,2013-08-11,0.0,False
11,2013-08-12,0.0,False
12,2013-08-13,11.73,False
13,2013-08-14,8.84,False
14,2013-08-15,9.350000000000001,False
15,2013-08-16,9.350000000000001,False
16,2013-08-17,0.0,False
17,2013-08-18,0.0,False
18,2013-08-19,8.84,False
19,2013-08-20,8.84,False
20,2013-08-21,8.67,False
21,2013-08-22,8.84,False
22,2013-08-23,9.180000000000001,False
23,2013-08-24,0.0,False
24,2013-08-25,0.0,False
25,2013-08-26,17.0,False
26,2013-08-27,0.0,False
27,2013-08-28,8.67,False
28,2013-08-29,8.67,False
29,2013-08-30,0.0,False
30,2013-08-31,0.0,False
0,2013-09-01,0.0,False
1,2013-09-02,0.0,False
2,2013-09-03,0.0,False
3,2013-09-04,2.55,False
4,2013-09-05,0.0,False
5,2013-09-06,2.67,False
6,2013-09-07,0.0,False
7,2013-09-08,0.0,False
8,2013-09-09,0.0,False
9,2013-09-10,2.4899999999999998,False
10,2013-09-11,0.0,False
11,2013-09-12,2.4899999999999998,False
12,2013-09-13,0.0,False
13,2013-09-14,0.0,False
14,2013-09-15,0.0,False
15,2013-09-16,0.0,False
16,2013-09-17,0.0,False
17,2013-09-18,0.0,False
18,2013-09-19,0.0,False
19,2013-09-20,0.0,False
20,2013-09-21,3.0,False
21,2013-09-22,0.0,False
22,2013-09-23,2.52,False
23,2013-09-24,0.0,False
24,2013-09-25,2.55,False
25,2013-09-26,0.0,False
26,2013-09-27,2.6399999999999997,False
27,2013-09-28,0.0,False
28,2013-09-29,0.0,False
29,2013-09-30,0.0,False
0,2013-10-01,0.0,False
1,2013-10-02,0.0,False
2,2013-10-03,0.0,False
3,2013-10-04,5.95,False
4,2013-10-05,0.0,False
5,2013-10-06,0.0,False
6,2013-10-07,5.61,False
7,2013-10-08,5.61,False
8,2013-10-09,17.0,False
9,2013-10-10,5.78,False
10,2013-10-11,5.95,False
11,2013-10-12,0.0,False
12,2013-10-13,0.0,False
13,2013-10-14,5.78,False
14,2013-10-15,5.78,False
15,2013-10-16,0.0,False
16,2013-10-17,0.0,False
17,2013-10-18,9.01,False
18,2013-10-19,0.0,False
19,2013-10-20,6.460000000000001,False
20,2013-10-21,5.61,False
21,2013-10-22,0.0,False
22,2013-10-23,0.0,False
23,2013-10-24,0.0,False
24,2013-10-25,0.0,False
25,2013-10-26,0.0,False
26,2013-10-27,0.0,False
27,2013-10-28,0.0,False
28,2013-10-29,5.44,False
29,2013-10-30,5.61,False
30,2013-10-31,0.0,False
0,2013-11-01,12.58,False
1,2013-11-02,13.940000000000001,False
2,2013-11-03,0.0,False
3,2013-11-04,11.56,False
4,2013-11-05,11.22,False
5,2013-11-06,19.040000000000003,False
6,2013-11-07,17.34,False
7,2013-11-08,11.9,False
8,2013-11-09,13.600000000000001,False
9,2013-11-10,0.0,False
10,2013-11-11,0.0,False
11,2013-11-12,0.0,False
12,2013-11-13,17.0,False
13,2013-11-14,23.12,False
14,2013-11-15,11.9,False
15,2013-11-16,13.600000000000001,False
16,2013-11-17,13.260000000000002,False
17,2013-11-18,11.22,False
18,2013-11-19,18.700000000000003,False
19,2013-11-20,34.0,False
20,2013-11-21,11.56,False
21,2013-11-22,19.720000000000002,False
22,2013-11-23,0.0,False
23,2013-11-24,0.0,False
24,2013-11-25,16.66,False
25,2013-11-26,14.96,False
26,2013-11-27,11.22,False
27,2013-11-28,12.24,False
28,2013-11-29,16.32,False
29,2013-11-30,13.600000000000001,False
0,2013-12-01,10.799999999999999,False
1,2013-12-02,13.92,False
2,2013-12-03,9.6,False
3,2013-12-04,0.0,False
4,2013-12-05,19.439999999999998,False
5,2013-12-06,10.08,False
6,2013-12-07,11.52,False
7,2013-12-08,0.0,False
8,2013-12-09,19.2,False
9,2013-12-10,9.6,False
10,2013-12-11,9.6,False
11,2013-12-12,0.0,False
12,2013-12-13,15.36,False
13,2013-12-14,0.0,False
14,2013-12-15,11.52,False
15,2013-12-16,9.84,False
16,2013-12-17,9.84,False
17,2013-12-18,0.0,False
18,2013-12-19,10.32,False
19,2013-12-20,10.799999999999999,False
20,2013-12-21,12.0,False
21,2013-12-22,0.0,False
22,2013-12-23,10.799999999999999,False
23,2013-12-24,24.0,False
24,2013-12-25,0.0,False
25,2013-12-26,11.04,False
26,2013-12-27,10.799999999999999,False
27,2013-12-28,0.0,False
28,2013-12-29,0.0,False
29,2013-12-30,0.0,False
30,2013-12-31,17.759999999999998,False
0,2014-01-01,0.0,False
1,2014-01-02,4.42,False
2,2014-01-03,8.97,False
3,2014-01-04,0.0,False
4,2014-01-05,0.0,False
5,2014-01-06,13.0,False
6,2014-01-07,4.16,False
7,2014-01-08,0.0,False
8,2014-01-09,0.0,False
9,2014-01-10,4.29,False
10,2014-01-11,0.0,False
11,2014-01-12,0.0,False
12,2014-01-13,4.16,False
13,2014-01-14,0.0,False
14,2014-01-15,4.16,False
15,2014-01-16,4.16,False
16,2014-01-17,0.0,False
17,2014-01-18,0.0,False
18,2014-01-19,0.0,False
19,2014-01-20,0.0,False
20,2014-01-21,0.0,False
21,2014-01-22,4.16,False
22,2014-01-23,0.0,False
23,2014-01-24,4.29,False
24,2014-01-25,4.94,False
25,2014-01-26,0.0,False
26,2014-01-27,6.11,False
27,2014-01-28,5.33,False
28,2014-01-29,0.0,False
29,2014-01-30,4.16,False
30,2014-01-31,13.0,False
0,2014-02-01,0.0,False
1,2014-02-02,0.0,False
2,2014-02-03,0.0,False
3,2014-02-04,12.8,False
4,2014-02-05,17.400000000000002,False
5,2014-02-06,18.0,False
6,2014-02-07,19.6,False
7,2014-02-08,20.0,False
8,2014-02-09,0.0,False
9,2014-02-10,8.4,False
10,2014-02-11,17.0,False
11,2014-02-12,0.0,False
12,2014-02-13,13.0,False
13,2014-02-14,9.0,False
14,2014-02-15,0.0,False
15,2014-02-16,10.200000000000001,False
16,2014-02-17,0.0,False
17,2014-02-18,8.6,False
18,2014-02-19,8.8,False
19,2014-02-20,13.200000000000001,False
20,2014-02-21,18.0,False
21,2014-02-22,0.0,False
22,2014-02-23,10.200000000000001,False
23,2014-02-24,8.6,False
24,2014-02-25,14.200000000000001,False
25,2014-02-26,17.2,False
26,2014-02-27,11.600000000000001,False
27,2014-02-28,9.200000000000001,False
0,2014-03-01,0.0,False
1,2014-03-02,0.0,False
2,2014-03-03,0.0,False
3,2014-03-04,9.120000000000001,False
4,2014-03-05,0.0,False
5,2014-03-06,13.49,False
6,2014-03-07,19.0,False
7,2014-03-08,10.64,False
8,2014-03-09,0.0,False
9,2014-03-10,0.0,False
10,2014-03-11,8.93,False
11,2014-03-12,8.93,False
12,2014-03-13,0.0,False
13,2014-03-14,18.81,False
14,2014-03-15,0.0,False
15,2014-03-16,0.0,False
16,2014-03-17,8.93,False
17,2014-03-18,8.93,False
18,2014-03-19,0.0,False
19,2014-03-20,9.120000000000001,False
20,2014-03-21,9.31,False
21,2014-03-22,0.0,False
22,2014-03-23,10.26,False
23,2014-03-24,8.93,False
24,2014-03-25,8.74,False
25,2014-03-26,13.3,False
26,2014-03-27,0.0,False
27,2014-03-28,9.31,False
28,2014-03-29,0.0,False
29,2014-03-30,0.0,False
30,2014-03-31,0.0,False
0,2014-04-01,7.000000000000001,False
1,2014-04-02,7.000000000000001,False
2,2014-04-03,0.0,False
3,2014-04-04,0.0,False
4,2014-04-05,0.0,False
5,2014-04-06,0.0,False
6,2014-04-07,0.0,False
7,2014-04-08,14.000000000000002,False
8,2014-04-09,7.000000000000001,False
9,2014-04-10,7.140000000000001,False
10,2014-04-11,0.0,False
11,2014-04-12,0.0,False
12,2014-04-13,8.4,False
13,2014-04-14,0.0,False
14,2014-04-15,7.000000000000001,False
15,2014-04-16,7.280000000000001,False
16,2014-04-17,0.0,False
17,2014-04-18,0.0,False
18,2014-04-19,0.0,False
19,2014-04-20,0.0,False
20,2014-04-21,0.0,False
21,2014-04-22,7.000000000000001,False
22,2014-04-23,0.0,False
23,2014-04-24,0.0,False
24,2014-04-25,0.0,False
25,2014-04-26,0.0,False
26,2014-04-27,8.120000000000001,False
27,2014-04-28,0.0,False
28,2014-04-29,0.0,False
