,date,AAPL stock,isPartial
2,2013-01-03,9.200000000000001,False
3,2013-01-04,10.0,False
4,2013-01-05,2.8000000000000003,False
5,2013-01-06,1.2000000000000002,False
6,2013-01-07,6.0,False
7,2013-01-08,7.2,False
8,2013-01-09,5.6000000000000005,False
9,2013-01-10,6.4,False
10,2013-01-11,8.0,False
11,2013-01-12,2.8000000000000003,False
12,2013-01-13,1.2000000000000002,False
13,2013-01-14,10.4,False
14,2013-01-15,16.8,False
15,2013-01-16,17.2,False
16,2013-01-17,13.200000000000001,False
17,2013-01-18,14.8,False
18,2013-01-19,3.2,False
19,2013-01-20,2.8000000000000003,False
20,2013-01-21,4.800000000000001,False
21,2013-01-22,10.0,False
22,2013-01-23,20.0,False
23,2013-01-24,40.0,False
24,2013-01-25,26.400000000000002,False
25,2013-01-26,10.4,False
26,2013-01-27,4.800000000000001,False
27,2013-01-28,16.400000000000002,False
28,2013-01-29,16.0,False
29,2013-01-30,12.4,False
30,2013-01-31,10.0,False
0,2013-02-01,26.099999999999998,False
1,2013-02-02,6.959999999999999,False
2,2013-02-03,8.41,False
3,2013-02-04,24.65,False
4,2013-02-05,18.849999999999998,False
5,2013-02-06,23.779999999999998,False
6,2013-02-07,27.839999999999996,False
7,2013-02-08,28.13,False
8,2013-02-09,11.309999999999999,False
9,2013-02-10,4.93,False
10,2013-02-11,22.04,False
11,2013-02-12,28.999999999999996,False
12,2013-02-13,24.069999999999997,False
13,2013-02-14,18.56,False
14,2013-02-15,23.2,False
15,2013-02-16,6.09,False
16,2013-02-17,2.03,False
17,2013-02-18,8.12,False
18,2013-02-19,16.24,False
19,2013-02-20,17.689999999999998,False
20,2013-02-21,17.98,False
21,2013-02-22,15.37,False
22,2013-02-23,5.22,False
23,2013-02-24,2.61,False
24,2013-02-25,16.529999999999998,False
25,2013-02-26,24.069999999999997,False
26,2013-02-27,20.88,False
27,2013-02-28,21.75,False
0,2013-03-01,26.880000000000003,False
1,2013-03-02,11.200000000000001,False
2,2013-03-03,4.48,False
3,2013-03-04,24.64,False
4,2013-03-05,28.000000000000004,False
5,2013-03-06,26.6,False
6,2013-03-07,23.8,False
7,2013-03-08,24.080000000000002,False
8,2013-03-09,5.880000000000001,False
9,2013-03-10,7.280000000000001,False
10,2013-03-11,21.840000000000003,False
11,2013-03-12,20.44,False
12,2013-03-13,23.240000000000002,False
13,2013-03-14,21.840000000000003,False
14,2013-03-15,26.040000000000003,False
15,2013-03-16,12.040000000000001,False
16,2013-03-17,3.9200000000000004,False
17,2013-03-18,27.720000000000002,False
18,2013-03-19,24.64,False
19,2013-03-20,20.720000000000002,False
20,2013-03-21,16.240000000000002,False
21,2013-03-22,19.6,False
22,2013-03-23,5.880000000000001,False
23,2013-03-24,3.6400000000000006,False
24,2013-03-25,19.040000000000003,False
25,2013-03-26,22.96,False
26,2013-03-27,18.76,False
27,2013-03-28,20.160000000000004,False
28,2013-03-29,15.400000000000002,False
29,2013-03-30,6.16,False
30,2013-03-31,3.9200000000000004,False
0,2013-04-01,14.4,False
1,2013-04-02,13.600000000000001,False
2,2013-04-03,12.0,False
3,2013-04-04,13.200000000000001,False
4,2013-04-05,8.4,False
5,2013-04-06,3.6,False
6,2013-04-07,2.8000000000000003,False
7,2013-04-08,7.6000000000000005,False
8,2013-04-09,11.200000000000001,False
9,2013-04-10,10.4,False
10,2013-04-11,11.200000000000001,False
11,2013-04-12,10.8,False
12,2013-04-13,4.4,False
13,2013-04-14,2.8000000000000003,False
14,2013-04-15,10.4,False
15,2013-04-16,8.8,False
16,2013-04-17,22.8,False
17,2013-04-18,17.2,False
18,2013-04-19,20.8,False
19,2013-04-20,9.200000000000001,False
20,2013-04-21,1.2000000000000002,False
21,2013-04-22,18.0,False
22,2013-04-23,40.0,False
23,2013-04-24,35.6,False
24,2013-04-25,15.600000000000001,False
25,2013-04-26,16.8,False
26,2013-04-27,6.800000000000001,False
27,2013-04-28,4.0,False
28,2013-04-29,17.6,False
29,2013-04-30,18.0,False
0,2013-05-01,24.09,False
1,2013-05-02,28.71,False
2,2013-05-03,31.68,False
3,2013-05-04,9.9,False
4,2013-05-05,5.61,False
5,2013-05-06,26.73,False
6,2013-05-07,27.060000000000002,False
7,2013-05-08,24.09,False
8,2013-05-09,29.37,False
9,2013-05-10,23.43,False
10,2013-05-11,4.95,False
11,2013-05-12,1.32,False
12,2013-05-13,18.150000000000002,False
13,2013-05-14,24.75,False
14,2013-05-15,33.0,False
15,2013-05-16,17.16,False
16,2013-05-17,18.150000000000002,False
17,2013-05-18,6.930000000000001,False
18,2013-05-19,4.29,False
19,2013-05-20,22.77,False
20,2013-05-21,23.43,False
21,2013-05-22,16.17,False
22,2013-05-23,23.76,False
23,2013-05-24,19.470000000000002,False
24,2013-05-25,7.590000000000001,False
25,2013-05-26,3.6300000000000003,False
