,date,PEP stock,isPartial
27,2013-04-28,0.0,False
28,2013-04-29,10.530000000000001,False
29,2013-04-30,32.370000000000005,False
0,2013-05-01,24.189999999999998,False
1,2013-05-02,41.0,False
2,2013-05-03,15.579999999999998,False
3,2013-05-04,0.0,False
4,2013-05-05,20.09,False
5,2013-05-06,16.4,False
6,2013-05-07,14.35,False
7,2013-05-08,25.83,False
8,2013-05-09,34.03,False
9,2013-05-10,17.63,False
10,2013-05-11,13.12,False
11,2013-05-12,13.12,False
12,2013-05-13,32.8,False
13,2013-05-14,15.989999999999998,False
14,2013-05-15,10.66,False
15,2013-05-16,18.45,False
16,2013-05-17,11.479999999999999,False
17,2013-05-18,0.0,False
18,2013-05-19,39.769999999999996,False
19,2013-05-20,0.0,False
20,2013-05-21,15.989999999999998,False
21,2013-05-22,21.32,False
22,2013-05-23,18.04,False
23,2013-05-24,22.959999999999997,False
24,2013-05-25,13.12,False
25,2013-05-26,0.0,False
26,2013-05-27,22.139999999999997,False
27,2013-05-28,21.32,False
28,2013-05-29,26.65,False
29,2013-05-30,22.139999999999997,False
30,2013-05-31,19.27,False
0,2013-06-01,8.84,False
1,2013-06-02,5.720000000000001,False
2,2013-06-03,8.06,False
3,2013-06-04,13.0,False
4,2013-06-05,11.440000000000001,False
5,2013-06-06,6.5,False
6,2013-06-07,5.2,False
7,2013-06-08,0.0,False
8,2013-06-09,11.700000000000001,False
9,2013-06-10,0.0,False
10,2013-06-11,6.24,False
11,2013-06-12,0.0,False
12,2013-06-13,9.88,False
13,2013-06-14,13.0,False
14,2013-06-15,5.98,False
15,2013-06-16,5.98,False
16,2013-06-17,4.94,False
17,2013-06-18,4.94,False
18,2013-06-19,4.94,False
19,2013-06-20,9.88,False
20,2013-06-21,16.12,False
21,2013-06-22,5.98,False
22,2013-06-23,0.0,False
23,2013-06-24,14.82,False
24,2013-06-25,19.5,False
25,2013-06-26,9.88,False
26,2013-06-27,0.0,False
27,2013-06-28,26.0,False
28,2013-06-29,5.98,False
29,2013-06-30,18.2,False
0,2013-07-01,9.1,False
1,2013-07-02,0.0,False
2,2013-07-03,13.649999999999999,False
3,2013-07-04,9.799999999999999,False
4,2013-07-05,35.0,False
5,2013-07-06,11.549999999999999,False
6,2013-07-07,11.549999999999999,False
7,2013-07-08,18.2,False
8,2013-07-09,9.1,False
9,2013-07-10,18.549999999999997,False
10,2013-07-11,18.549999999999997,False
11,2013-07-12,19.599999999999998,False
12,2013-07-13,11.549999999999999,False
13,2013-07-14,16.799999999999997,False
14,2013-07-15,9.1,False
15,2013-07-16,18.549999999999997,False
16,2013-07-17,14.0,False
17,2013-07-18,18.9,False
18,2013-07-19,29.049999999999997,False
19,2013-07-20,0.0,False
20,2013-07-21,0.0,False
21,2013-07-22,18.2,False
22,2013-07-23,9.1,False
23,2013-07-24,14.0,False
24,2013-07-25,9.45,False
25,2013-07-26,33.949999999999996,False
26,2013-07-27,17.15,False
27,2013-07-28,0.0,False
28,2013-07-29,13.649999999999999,False
29,2013-07-30,0.0,False
30,2013-07-31,23.099999999999998,False
0,2013-08-01,27.0,False
1,2013-08-02,9.450000000000001,False
2,2013-08-03,0.0,False
3,2013-08-04,11.07,False
4,2013-08-05,27.0,False
5,2013-08-06,8.91,False
6,2013-08-07,0.0,False
7,2013-08-08,22.950000000000003,False
8,2013-08-09,9.450000000000001,False
9,2013-08-10,0.0,False
10,2013-08-11,10.8,False
11,2013-08-12,0.0,False
12,2013-08-13,8.91,False
13,2013-08-14,13.5,False
14,2013-08-15,9.450000000000001,False
15,2013-08-16,23.490000000000002,False
16,2013-08-17,10.8,False
17,2013-08-18,0.0,False
18,2013-08-19,17.55,False
19,2013-08-20,17.55,False
20,2013-08-21,17.55,False
21,2013-08-22,26.73,False
22,2013-08-23,0.0,False
23,2013-08-24,0.0,False
24,2013-08-25,0.0,False
25,2013-08-26,8.64,False
26,2013-08-27,17.01,False
27,2013-08-28,25.380000000000003,False
28,2013-08-29,8.64,False
29,2013-08-30,8.91,False
30,2013-08-31,0.0,False
0,2013-09-01,0.0,False
1,2013-09-02,0.0,False
2,2013-09-03,20.0,False
3,2013-09-04,20.0,False
4,2013-09-05,25.6,False
5,2013-09-06,21.6,False
6,2013-09-07,12.4,False
7,2013-09-08,23.6,False
8,2013-09-09,20.0,False
9,2013-09-10,19.6,False
10,2013-09-11,15.200000000000001,False
11,2013-09-12,10.0,False
12,2013-09-13,20.8,False
13,2013-09-14,12.0,False
14,2013-09-15,11.600000000000001,False
15,2013-09-16,30.0,False
16,2013-09-17,10.0,False
17,2013-09-18,40.0,False
18,2013-09-19,20.0,False
19,2013-09-20,10.8,False
20,2013-09-21,0.0,False
21,2013-09-22,11.600000000000001,False
22,2013-09-23,30.0,False
23,2013-09-24,20.0,False
24,2013-09-25,20.0,False
25,2013-09-26,30.400000000000002,False
26,2013-09-27,10.8,False
27,2013-09-28,12.0,False
28,2013-09-29,11.600000000000001,False
29,2013-09-30,10.0,False
0,2013-10-01,17.68,False
1,2013-10-02,21.76,False
2,2013-10-03,32.980000000000004,False
3,2013-10-04,17.0,False
4,2013-10-05,12.58,False
5,2013-10-06,0.0,False
6,2013-10-07,10.88,False
7,2013-10-08,17.68,False
8,2013-10-09,21.42,False
9,2013-10-10,25.500000000000004,False
10,2013-10-11,17.0,False
11,2013-10-12,12.920000000000002,False
12,2013-10-13,12.920000000000002,False
13,2013-10-14,18.360000000000003,False
14,2013-10-15,21.76,False
15,2013-10-16,25.500000000000004,False
16,2013-10-17,21.76,False
17,2013-10-18,34.0,False
18,2013-10-19,19.380000000000003,False
19,2013-10-20,12.58,False
20,2013-10-21,28.220000000000002,False
21,2013-10-22,17.68,False
22,2013-10-23,28.220000000000002,False
23,2013-10-24,10.540000000000001,False
24,2013-10-25,33.660000000000004,False
25,2013-10-26,12.920000000000002,False
26,2013-10-27,20.400000000000002,False
27,2013-10-28,27.880000000000003,False
28,2013-10-29,27.880000000000003,False
29,2013-10-30,24.82,False
30,2013-10-31,22.1,False
0,2013-11-01,35.669999999999995,False
1,2013-11-02,31.159999999999997,False
2,2013-11-03,15.17,False
3,2013-11-04,19.68,False
4,2013-11-05,19.27,False
5,2013-11-06,38.54,False
6,2013-11-07,26.24,False
7,2013-11-08,20.5,False
8,2013-11-09,15.579999999999998,False
9,2013-11-10,0.0,False
10,2013-11-11,12.709999999999999,False
11,2013-11-12,31.979999999999997,False
12,2013-11-13,38.54,False
13,2013-11-14,19.68,False
14,2013-11-15,41.0,False
15,2013-11-16,0.0,False
16,2013-11-17,15.17,False
17,2013-11-18,38.54,False
18,2013-11-19,38.129999999999995,False
19,2013-11-20,25.419999999999998,False
20,2013-11-21,25.83,False
21,2013-11-22,13.53,False
22,2013-11-23,30.34,False
23,2013-11-24,14.76,False
24,2013-11-25,25.419999999999998,False
25,2013-11-26,25.419999999999998,False
26,2013-11-27,12.709999999999999,False
27,2013-11-28,20.5,False
28,2013-11-29,13.94,False
29,2013-11-30,15.17,False
0,2013-12-01,0.0,False
1,2013-12-02,0.0,False
2,2013-12-03,17.64,False
3,2013-12-04,5.76,False
4,2013-12-05,7.92,False
5,2013-12-06,15.479999999999999,False
6,2013-12-07,7.199999999999999,False
7,2013-12-08,7.199999999999999,False
8,2013-12-09,11.879999999999999,False
9,2013-12-10,15.84,False
10,2013-12-11,36.0,False
11,2013-12-12,12.24,False
12,2013-12-13,0.0,False
13,2013-12-14,7.199999999999999,False
14,2013-12-15,14.04,False
15,2013-12-16,10.08,False
16,2013-12-17,8.28,False
17,2013-12-18,16.2,False
18,2013-12-19,8.28,False
19,2013-12-20,19.8,False
20,2013-12-21,7.56,False
21,2013-12-22,7.56,False
22,2013-12-23,11.16,False
23,2013-12-24,10.799999999999999,False
24,2013-12-25,7.92,False
25,2013-12-26,13.68,False
26,2013-12-27,11.16,False
27,2013-12-28,7.199999999999999,False
28,2013-12-29,7.199999999999999,False
29,2013-12-30,10.799999999999999,False
30,2013-12-31,14.399999999999999,False
0,2014-01-01,10.2,False
1,2014-01-02,16.8,False
2,2014-01-03,20.7,False
3,2014-01-04,9.0,False
4,2014-01-05,9.299999999999999,False
5,2014-01-06,15.6,False
6,2014-01-07,23.4,False
7,2014-01-08,7.8,False
8,2014-01-09,15.6,False
9,2014-01-10,16.2,False
10,2014-01-11,18.0,False
11,2014-01-12,27.0,False
12,2014-01-13,7.5,False
13,2014-01-14,15.299999999999999,False
14,2014-01-15,15.6,False
15,2014-01-16,19.2,False
16,2014-01-17,15.899999999999999,False
17,2014-01-18,18.3,False
18,2014-01-19,9.0,False
19,2014-01-20,0.0,False
20,2014-01-21,15.299999999999999,False
21,2014-01-22,30.0,False
22,2014-01-23,7.5,False
23,2014-01-24,15.899999999999999,False
