,date,FB stock,isPartial
21,2013-03-22,4.05,False
22,2013-03-23,2.61,False
23,2013-03-24,1.6199999999999999,False
24,2013-03-25,4.5,False
25,2013-03-26,3.69,False
26,2013-03-27,4.05,False
27,2013-03-28,5.13,False
28,2013-03-29,3.8699999999999997,False
29,2013-03-30,2.79,False
30,2013-03-31,0.72,False
0,2013-04-01,5.5,False
1,2013-04-02,4.6000000000000005,False
2,2013-04-03,5.4,False
3,2013-04-04,10.0,False
4,2013-04-05,8.9,False
5,2013-04-06,3.2,False
6,2013-04-07,2.5,False
7,2013-04-08,5.4,False
8,2013-04-09,5.800000000000001,False
9,2013-04-10,6.300000000000001,False
10,2013-04-11,7.300000000000001,False
11,2013-04-12,8.4,False
12,2013-04-13,2.6,False
13,2013-04-14,1.5,False
14,2013-04-15,7.4,False
15,2013-04-16,6.7,False
16,2013-04-17,5.1000000000000005,False
17,2013-04-18,7.0,False
18,2013-04-19,5.300000000000001,False
19,2013-04-20,2.0,False
20,2013-04-21,1.0,False
21,2013-04-22,5.9,False
22,2013-04-23,7.5,False
23,2013-04-24,5.2,False
24,2013-04-25,6.300000000000001,False
25,2013-04-26,4.9,False
26,2013-04-27,3.6,False
27,2013-04-28,1.8,False
28,2013-04-29,5.800000000000001,False
29,2013-04-30,6.7,False
0,2013-05-01,10.0,False
1,2013-05-02,9.600000000000001,False
2,2013-05-03,6.9,False
3,2013-05-04,2.6,False
4,2013-05-05,1.2000000000000002,False
5,2013-05-06,5.4,False
6,2013-05-07,4.800000000000001,False
7,2013-05-08,4.5,False
8,2013-05-09,4.3,False
9,2013-05-10,4.4,False
10,2013-05-11,2.3000000000000003,False
11,2013-05-12,0.8,False
12,2013-05-13,3.8000000000000003,False
13,2013-05-14,3.8000000000000003,False
14,2013-05-15,5.1000000000000005,False
15,2013-05-16,5.7,False
16,2013-05-17,5.1000000000000005,False
17,2013-05-18,2.0,False
18,2013-05-19,1.3,False
19,2013-05-20,3.7,False
20,2013-05-21,5.1000000000000005,False
21,2013-05-22,4.4,False
22,2013-05-23,4.2,False
23,2013-05-24,5.1000000000000005,False
24,2013-05-25,2.3000000000000003,False
25,2013-05-26,2.5,False
26,2013-05-27,2.4000000000000004,False
27,2013-05-28,4.4,False
28,2013-05-29,5.5,False
29,2013-05-30,6.9,False
30,2013-05-31,7.0,False
0,2013-06-01,3.5999999999999996,False
1,2013-06-02,2.16,False
2,2013-06-03,7.199999999999999,False
3,2013-06-04,9.0,False
4,2013-06-05,8.64,False
5,2013-06-06,6.39,False
6,2013-06-07,6.569999999999999,False
7,2013-06-08,5.85,False
8,2013-06-09,1.7999999999999998,False
9,2013-06-10,6.75,False
10,2013-06-11,7.02,False
11,2013-06-12,8.64,False
12,2013-06-13,6.93,False
13,2013-06-14,7.6499999999999995,False
14,2013-06-15,3.33,False
15,2013-06-16,2.16,False
16,2013-06-17,6.569999999999999,False
17,2013-06-18,4.77,False
18,2013-06-19,4.2299999999999995,False
19,2013-06-20,8.549999999999999,False
20,2013-06-21,5.76,False
21,2013-06-22,1.53,False
22,2013-06-23,3.2399999999999998,False
23,2013-06-24,7.199999999999999,False
24,2013-06-25,5.67,False
25,2013-06-26,6.39,False
26,2013-06-27,5.49,False
27,2013-06-28,4.2299999999999995,False
28,2013-06-29,2.61,False
29,2013-06-30,2.25,False
0,2013-07-01,1.54,False
1,2013-07-02,1.9600000000000002,False
2,2013-07-03,2.1,False
3,2013-07-04,0.8400000000000001,False
4,2013-07-05,0.9800000000000001,False
5,2013-07-06,0.42000000000000004,False
6,2013-07-07,0.42000000000000004,False
7,2013-07-08,1.4000000000000001,False
8,2013-07-09,1.9600000000000002,False
9,2013-07-10,1.8200000000000003,False
10,2013-07-11,1.9600000000000002,False
11,2013-07-12,2.5200000000000005,False
12,2013-07-13,1.12,False
13,2013-07-14,0.42000000000000004,False
14,2013-07-15,2.1,False
15,2013-07-16,2.66,False
16,2013-07-17,1.8200000000000003,False
17,2013-07-18,2.1,False
18,2013-07-19,1.6800000000000002,False
19,2013-07-20,0.7000000000000001,False
20,2013-07-21,0.14,False
21,2013-07-22,1.6800000000000002,False
22,2013-07-23,1.6800000000000002,False
23,2013-07-24,5.180000000000001,False
24,2013-07-25,14.000000000000002,False
25,2013-07-26,7.840000000000001,False
26,2013-07-27,2.66,False
27,2013-07-28,0.8400000000000001,False
28,2013-07-29,3.7800000000000002,False
29,2013-07-30,4.48,False
30,2013-07-31,6.300000000000001,False
0,2013-08-01,18.0,False
1,2013-08-02,14.399999999999999,False
2,2013-08-03,3.78,False
3,2013-08-04,1.98,False
4,2013-08-05,14.94,False
5,2013-08-06,13.68,False
6,2013-08-07,12.78,False
7,2013-08-08,11.879999999999999,False
8,2013-08-09,13.86,False
9,2013-08-10,6.12,False
10,2013-08-11,2.34,False
11,2013-08-12,9.9,False
12,2013-08-13,11.52,False
13,2013-08-14,10.44,False
14,2013-08-15,12.42,False
15,2013-08-16,9.719999999999999,False
16,2013-08-17,4.68,False
17,2013-08-18,2.34,False
18,2013-08-19,9.9,False
19,2013-08-20,8.82,False
20,2013-08-21,7.38,False
21,2013-08-22,11.879999999999999,False
22,2013-08-23,12.42,False
23,2013-08-24,7.02,False
24,2013-08-25,3.2399999999999998,False
25,2013-08-26,9.9,False
26,2013-08-27,12.24,False
27,2013-08-28,12.959999999999999,False
28,2013-08-29,12.24,False
29,2013-08-30,8.82,False
30,2013-08-31,2.6999999999999997,False
0,2013-09-01,2.94,False
1,2013-09-02,4.2,False
2,2013-09-03,9.45,False
3,2013-09-04,11.549999999999999,False
4,2013-09-05,14.91,False
5,2013-09-06,13.86,False
6,2013-09-07,6.72,False
7,2013-09-08,2.94,False
8,2013-09-09,13.86,False
9,2013-09-10,12.809999999999999,False
10,2013-09-11,13.65,False
11,2013-09-12,15.54,False
12,2013-09-13,14.07,False
13,2013-09-14,6.93,False
14,2013-09-15,3.78,False
15,2013-09-16,12.18,False
16,2013-09-17,14.28,False
17,2013-09-18,15.959999999999999,False
18,2013-09-19,12.809999999999999,False
19,2013-09-20,16.169999999999998,False
20,2013-09-21,6.3,False
21,2013-09-22,3.57,False
22,2013-09-23,14.49,False
23,2013-09-24,20.16,False
24,2013-09-25,17.22,False
25,2013-09-26,21.0,False
26,2013-09-27,18.48,False
27,2013-09-28,7.14,False
28,2013-09-29,3.78,False
29,2013-09-30,17.43,False
0,2013-10-01,8.64,False
1,2013-10-02,10.32,False
2,2013-10-03,8.64,False
3,2013-10-04,7.68,False
4,2013-10-05,5.76,False
5,2013-10-06,3.5999999999999996,False
6,2013-10-07,8.4,False
7,2013-10-08,11.04,False
8,2013-10-09,11.28,False
9,2013-10-10,14.16,False
10,2013-10-11,10.08,False
11,2013-10-12,2.88,False
12,2013-10-13,2.4,False
13,2013-10-14,9.36,False
14,2013-10-15,9.36,False
15,2013-10-16,12.719999999999999,False
16,2013-10-17,11.04,False
17,2013-10-18,12.48,False
18,2013-10-19,3.84,False
19,2013-10-20,4.8,False
20,2013-10-21,12.959999999999999,False
21,2013-10-22,8.16,False
22,2013-10-23,10.799999999999999,False
23,2013-10-24,9.6,False
24,2013-10-25,12.24,False
25,2013-10-26,3.84,False
26,2013-10-27,3.12,False
27,2013-10-28,10.32,False
28,2013-10-29,12.24,False
29,2013-10-30,18.24,False
30,2013-10-31,24.0,False
0,2013-11-01,17.1,False
1,2013-11-02,4.94,False
2,2013-11-03,2.66,False
3,2013-11-04,13.870000000000001,False
4,2013-11-05,16.72,False
5,2013-11-06,10.07,False
6,2013-11-07,19.0,False
7,2013-11-08,15.58,False
8,2013-11-09,4.75,False
9,2013-11-10,2.66,False
10,2013-11-11,10.26,False
11,2013-11-12,11.02,False
12,2013-11-13,13.49,False
13,2013-11-14,11.4,False
14,2013-11-15,11.4,False
15,2013-11-16,4.18,False
16,2013-11-17,3.99,False
17,2013-11-18,11.78,False
18,2013-11-19,12.35,False
19,2013-11-20,11.02,False
20,2013-11-21,10.45,False
21,2013-11-22,11.21,False
22,2013-11-23,3.99,False
23,2013-11-24,2.66,False
24,2013-11-25,12.35,False
25,2013-11-26,9.88,False
26,2013-11-27,7.79,False
27,2013-11-28,4.5600000000000005,False
28,2013-11-29,7.41,False
29,2013-11-30,2.85,False
0,2013-12-01,3.0,False
1,2013-12-02,8.200000000000001,False
2,2013-12-03,9.8,False
3,2013-12-04,10.200000000000001,False
4,2013-12-05,11.8,False
5,2013-12-06,10.0,False
6,2013-12-07,4.6000000000000005,False
7,2013-12-08,2.8000000000000003,False
8,2013-12-09,11.600000000000001,False
9,2013-12-10,12.8,False
10,2013-12-11,15.0,False
11,2013-12-12,18.2,False
12,2013-12-13,17.400000000000002,False
13,2013-12-14,6.6000000000000005,False
14,2013-12-15,4.2,False
15,2013-12-16,14.200000000000001,False
16,2013-12-17,18.400000000000002,False
17,2013-12-18,17.400000000000002,False
18,2013-12-19,19.8,False
19,2013-12-20,17.2,False
20,2013-12-21,6.4,False
21,2013-12-22,3.4000000000000004,False
22,2013-12-23,19.6,False
23,2013-12-24,20.0,False
24,2013-12-25,5.6000000000000005,False
25,2013-12-26,17.2,False
26,2013-12-27,15.8,False
27,2013-12-28,7.800000000000001,False
28,2013-12-29,4.2,False
29,2013-12-30,15.8,False
30,2013-12-31,15.600000000000001,False
0,2014-01-01,3.78,False
1,2014-01-02,6.3,False
2,2014-01-03,6.93,False
3,2014-01-04,2.94,False
4,2014-01-05,1.68,False
5,2014-01-06,6.72,False
6,2014-01-07,6.51,False
7,2014-01-08,6.09,False
8,2014-01-09,6.72,False
9,2014-01-10,7.56,False
10,2014-01-11,3.15,False
11,2014-01-12,2.1,False
12,2014-01-13,4.83,False
13,2014-01-14,6.51,False
14,2014-01-15,7.77,False
15,2014-01-16,7.56,False
16,2014-01-17,6.72,False
17,2014-01-18,2.94,False
18,2014-01-19,1.26,False
19,2014-01-20,2.73,False
20,2014-01-21,6.72,False
21,2014-01-22,7.56,False
22,2014-01-23,7.14,False
23,2014-01-24,6.3,False
24,2014-01-25,2.94,False
25,2014-01-26,2.31,False
26,2014-01-27,6.09,False
27,2014-01-28,7.77,False
28,2014-01-29,13.229999999999999,False
29,2014-01-30,21.0,False
30,2014-01-31,13.229999999999999,False
0,2014-02-01,6.210000000000001,False
1,2014-02-02,4.32,False
2,2014-02-03,10.8,False
3,2014-02-04,13.770000000000001,False
4,2014-02-05,10.530000000000001,False
5,2014-02-06,10.260000000000002,False
6,2014-02-07,14.850000000000001,False
7,2014-02-08,6.48,False
8,2014-02-09,3.7800000000000002,False
9,2014-02-10,9.99,False
