,date,GOOG stock,isPartial
28,2013-01-29,3.5999999999999996,False
29,2013-01-30,6.75,False
30,2013-01-31,5.31,False
0,2013-02-01,8.700000000000001,False
1,2013-02-02,5.2,False
2,2013-02-03,2.1,False
3,2013-02-04,5.0,False
4,2013-02-05,3.9000000000000004,False
5,2013-02-06,5.800000000000001,False
6,2013-02-07,4.800000000000001,False
7,2013-02-08,9.1,False
8,2013-02-09,3.5,False
9,2013-02-10,3.0,False
10,2013-02-11,5.1000000000000005,False
11,2013-02-12,6.300000000000001,False
12,2013-02-13,6.2,False
13,2013-02-14,4.800000000000001,False
14,2013-02-15,5.7,False
15,2013-02-16,5.2,False
16,2013-02-17,1.7000000000000002,False
17,2013-02-18,2.2,False
18,2013-02-19,10.0,False
19,2013-02-20,7.9,False
20,2013-02-21,8.3,False
21,2013-02-22,6.0,False
22,2013-02-23,2.5,False
23,2013-02-24,0.0,False
24,2013-02-25,6.6000000000000005,False
25,2013-02-26,4.2,False
26,2013-02-27,4.6000000000000005,False
27,2013-02-28,7.6000000000000005,False
0,2013-03-01,3.8699999999999997,False
1,2013-03-02,1.98,False
2,2013-03-03,1.71,False
3,2013-03-04,8.19,False
4,2013-03-05,7.92,False
5,2013-03-06,9.0,False
6,2013-03-07,6.84,False
7,2013-03-08,5.9399999999999995,False
8,2013-03-09,1.6199999999999999,False
9,2013-03-10,0.63,False
10,2013-03-11,3.06,False
11,2013-03-12,4.14,False
12,2013-03-13,4.95,False
13,2013-03-14,6.75,False
14,2013-03-15,4.95,False
15,2013-03-16,2.61,False
16,2013-03-17,0.99,False
17,2013-03-18,4.68,False
18,2013-03-19,3.33,False
19,2013-03-20,3.96,False
20,2013-03-21,3.15,False
21,2013-03-22,4.32,False
22,2013-03-23,1.6199999999999999,False
23,2013-03-24,0.63,False
24,2013-03-25,2.25,False
25,2013-03-26,4.5,False
26,2013-03-27,4.59,False
27,2013-03-28,4.77,False
28,2013-03-29,2.88,False
29,2013-03-30,1.3499999999999999,False
30,2013-03-31,1.44,False
0,2013-04-01,5.1000000000000005,False
1,2013-04-02,5.2700000000000005,False
2,2013-04-03,5.95,False
3,2013-04-04,8.84,False
4,2013-04-05,7.3100000000000005,False
5,2013-04-06,4.42,False
6,2013-04-07,4.590000000000001,False
7,2013-04-08,5.2700000000000005,False
8,2013-04-09,6.970000000000001,False
9,2013-04-10,7.3100000000000005,False
10,2013-04-11,8.67,False
11,2013-04-12,7.65,False
12,2013-04-13,3.4000000000000004,False
13,2013-04-14,3.74,False
14,2013-04-15,8.84,False
15,2013-04-16,6.970000000000001,False
16,2013-04-17,9.01,False
17,2013-04-18,11.56,False
18,2013-04-19,17.0,False
19,2013-04-20,7.82,False
20,2013-04-21,5.1000000000000005,False
21,2013-04-22,8.33,False
22,2013-04-23,9.350000000000001,False
23,2013-04-24,8.84,False
24,2013-04-25,6.970000000000001,False
25,2013-04-26,7.65,False
26,2013-04-27,3.06,False
27,2013-04-28,2.3800000000000003,False
28,2013-04-29,9.520000000000001,False
29,2013-04-30,10.88,False
0,2013-05-01,6.65,False
1,2013-05-02,8.17,False
2,2013-05-03,7.6,False
3,2013-05-04,1.71,False
4,2013-05-05,0.95,False
5,2013-05-06,6.84,False
6,2013-05-07,7.22,False
7,2013-05-08,7.03,False
8,2013-05-09,7.6,False
9,2013-05-10,7.22,False
10,2013-05-11,1.1400000000000001,False
11,2013-05-12,0.95,False
12,2013-05-13,6.2700000000000005,False
13,2013-05-14,9.120000000000001,False
14,2013-05-15,19.0,False
15,2013-05-16,11.78,False
16,2013-05-17,7.98,False
17,2013-05-18,3.99,False
18,2013-05-19,1.52,False
19,2013-05-20,7.98,False
20,2013-05-21,5.89,False
21,2013-05-22,7.79,False
22,2013-05-23,9.120000000000001,False
23,2013-05-24,9.120000000000001,False
24,2013-05-25,6.08,False
25,2013-05-26,2.66,False
26,2013-05-27,3.61,False
27,2013-05-28,11.21,False
28,2013-05-29,9.31,False
29,2013-05-30,8.74,False
30,2013-05-31,6.65,False
0,2013-06-01,4.6499999999999995,False
1,2013-06-02,5.3999999999999995,False
2,2013-06-03,8.85,False
3,2013-06-04,10.799999999999999,False
4,2013-06-05,9.0,False
5,2013-06-06,7.8,False
6,2013-06-07,4.6499999999999995,False
7,2013-06-08,7.05,False
8,2013-06-09,1.5,False
9,2013-06-10,9.45,False
10,2013-06-11,13.65,False
11,2013-06-12,11.4,False
12,2013-06-13,9.0,False
13,2013-06-14,7.5,False
14,2013-06-15,1.65,False
15,2013-06-16,4.6499999999999995,False
16,2013-06-17,7.6499999999999995,False
17,2013-06-18,10.2,False
18,2013-06-19,14.85,False
19,2013-06-20,15.0,False
20,2013-06-21,6.8999999999999995,False
21,2013-06-22,7.199999999999999,False
22,2013-06-23,1.5,False
23,2013-06-24,3.15,False
24,2013-06-25,6.45,False
25,2013-06-26,3.3,False
26,2013-06-27,7.8,False
27,2013-06-28,6.1499999999999995,False
28,2013-06-29,4.05,False
29,2013-06-30,1.65,False
0,2013-07-01,7.6,False
1,2013-07-02,2.85,False
2,2013-07-03,6.08,False
3,2013-07-04,4.37,False
4,2013-07-05,2.66,False
5,2013-07-06,3.04,False
6,2013-07-07,2.47,False
7,2013-07-08,5.32,False
8,2013-07-09,6.84,False
9,2013-07-10,4.5600000000000005,False
10,2013-07-11,7.41,False
11,2013-07-12,6.46,False
12,2013-07-13,3.61,False
13,2013-07-14,2.47,False
14,2013-07-15,6.08,False
15,2013-07-16,4.5600000000000005,False
16,2013-07-17,6.2700000000000005,False
17,2013-07-18,12.92,False
18,2013-07-19,19.0,False
19,2013-07-20,2.47,False
20,2013-07-21,2.47,False
21,2013-07-22,5.7,False
22,2013-07-23,6.84,False
23,2013-07-24,7.79,False
24,2013-07-25,10.45,False
25,2013-07-26,12.92,False
26,2013-07-27,4.5600000000000005,False
27,2013-07-28,2.47,False
28,2013-07-29,5.13,False
29,2013-07-30,4.37,False
30,2013-07-31,4.37,False
0,2013-08-01,15.0,False
1,2013-08-02,11.25,False
2,2013-08-03,6.6,False
3,2013-08-04,4.5,False
4,2013-08-05,6.8999999999999995,False
5,2013-08-06,10.35,False
6,2013-08-07,10.35,False
7,2013-08-08,11.4,False
8,2013-08-09,11.7,False
9,2013-08-10,4.05,False
10,2013-08-11,4.5,False
11,2013-08-12,10.2,False
12,2013-08-13,9.75,False
13,2013-08-14,14.1,False
14,2013-08-15,12.9,False
15,2013-08-16,10.799999999999999,False
16,2013-08-17,12.0,False
17,2013-08-18,7.8,False
18,2013-08-19,12.15,False
19,2013-08-20,13.2,False
20,2013-08-21,8.4,False
21,2013-08-22,12.75,False
22,2013-08-23,13.049999999999999,False
23,2013-08-24,4.8,False
24,2013-08-25,6.1499999999999995,False
25,2013-08-26,13.35,False
26,2013-08-27,7.8,False
27,2013-08-28,7.5,False
28,2013-08-29,11.549999999999999,False
29,2013-08-30,9.6,False
30,2013-08-31,4.8,False
0,2013-09-01,0.9800000000000001,False
1,2013-09-02,1.54,False
2,2013-09-03,9.940000000000001,False
3,2013-09-04,9.24,False
4,2013-09-05,9.520000000000001,False
5,2013-09-06,7.280000000000001,False
6,2013-09-07,12.180000000000001,False
7,2013-09-08,5.32,False
8,2013-09-09,8.260000000000002,False
9,2013-09-10,10.500000000000002,False
10,2013-09-11,9.24,False
11,2013-09-12,9.940000000000001,False
12,2013-09-13,8.680000000000001,False
13,2013-09-14,7.280000000000001,False
14,2013-09-15,4.48,False
15,2013-09-16,6.86,False
16,2013-09-17,9.100000000000001,False
17,2013-09-18,7.5600000000000005,False
18,2013-09-19,14.000000000000002,False
19,2013-09-20,7.280000000000001,False
20,2013-09-21,5.460000000000001,False
21,2013-09-22,5.32,False
22,2013-09-23,9.8,False
23,2013-09-24,12.040000000000001,False
24,2013-09-25,9.940000000000001,False
25,2013-09-26,9.38,False
26,2013-09-27,10.500000000000002,False
27,2013-09-28,1.8200000000000003,False
28,2013-09-29,7.140000000000001,False
29,2013-09-30,8.260000000000002,False
0,2013-10-01,2.34,False
1,2013-10-02,2.8600000000000003,False
2,2013-10-03,2.08,False
3,2013-10-04,2.08,False
4,2013-10-05,0.52,False
5,2013-10-06,0.52,False
6,2013-10-07,3.64,False
7,2013-10-08,2.8600000000000003,False
8,2013-10-09,2.8600000000000003,False
9,2013-10-10,2.8600000000000003,False
10,2013-10-11,3.12,False
11,2013-10-12,2.08,False
12,2013-10-13,1.04,False
13,2013-10-14,2.6,False
14,2013-10-15,2.34,False
15,2013-10-16,2.34,False
16,2013-10-17,7.0200000000000005,False
17,2013-10-18,26.0,False
18,2013-10-19,10.4,False
19,2013-10-20,5.2,False
20,2013-10-21,7.0200000000000005,False
21,2013-10-22,6.5,False
22,2013-10-23,6.24,False
23,2013-10-24,6.5,False
24,2013-10-25,4.94,False
25,2013-10-26,1.82,False
26,2013-10-27,1.82,False
27,2013-10-28,4.16,False
28,2013-10-29,5.46,False
29,2013-10-30,5.46,False
30,2013-10-31,5.2,False
0,2013-11-01,15.299999999999999,False
1,2013-11-02,7.92,False
2,2013-11-03,8.28,False
3,2013-11-04,13.139999999999999,False
4,2013-11-05,10.26,False
5,2013-11-06,13.5,False
6,2013-11-07,17.099999999999998,False
7,2013-11-08,12.42,False
8,2013-11-09,7.38,False
9,2013-11-10,3.42,False
10,2013-11-11,10.62,False
11,2013-11-12,10.799999999999999,False
12,2013-11-13,15.66,False
13,2013-11-14,16.74,False
14,2013-11-15,14.219999999999999,False
15,2013-11-16,6.12,False
16,2013-11-17,7.38,False
17,2013-11-18,15.299999999999999,False
18,2013-11-19,14.76,False
19,2013-11-20,10.62,False
20,2013-11-21,10.26,False
21,2013-11-22,13.139999999999999,False
22,2013-11-23,4.68,False
23,2013-11-24,5.58,False
24,2013-11-25,16.02,False
25,2013-11-26,18.0,False
26,2013-11-27,16.02,False
27,2013-11-28,8.28,False
28,2013-11-29,10.08,False
29,2013-11-30,7.38,False
0,2013-12-01,4.37,False
1,2013-12-02,9.31,False
2,2013-12-03,12.16,False
3,2013-12-04,10.26,False
4,2013-12-05,14.82,False
5,2013-12-06,12.16,False
6,2013-12-07,6.84,False
7,2013-12-08,9.120000000000001,False
8,2013-12-09,19.0,False
9,2013-12-10,14.06,False
10,2013-12-11,8.93,False
11,2013-12-12,12.540000000000001,False
12,2013-12-13,13.11,False
13,2013-12-14,0.76,False
14,2013-12-15,3.04,False
15,2013-12-16,7.79,False
16,2013-12-17,9.88,False
17,2013-12-18,12.16,False
18,2013-12-19,11.59,False
19,2013-12-20,12.16,False
20,2013-12-21,11.21,False
