,date,PFE stock,isPartial
27,2012-12-28,3.7,False
28,2012-12-29,4.1000000000000005,False
29,2012-12-30,0.0,False
30,2012-12-31,8.200000000000001,False
0,2013-01-01,0.0,False
1,2013-01-02,15.479999999999999,False
2,2013-01-03,0.0,False
3,2013-01-04,7.739999999999999,False
4,2013-01-05,4.32,False
5,2013-01-06,4.32,False
6,2013-01-07,3.78,False
7,2013-01-08,7.38,False
8,2013-01-09,7.199999999999999,False
9,2013-01-10,3.5999999999999996,False
10,2013-01-11,11.34,False
11,2013-01-12,0.0,False
12,2013-01-13,0.0,False
13,2013-01-14,3.5999999999999996,False
14,2013-01-15,7.199999999999999,False
15,2013-01-16,0.0,False
16,2013-01-17,10.799999999999999,False
17,2013-01-18,0.0,False
18,2013-01-19,0.0,False
19,2013-01-20,8.459999999999999,False
20,2013-01-21,0.0,False
21,2013-01-22,10.62,False
22,2013-01-23,18.0,False
23,2013-01-24,7.199999999999999,False
24,2013-01-25,14.94,False
25,2013-01-26,0.0,False
26,2013-01-27,0.0,False
27,2013-01-28,7.02,False
28,2013-01-29,7.02,False
29,2013-01-30,7.02,False
30,2013-01-31,14.219999999999999,False
0,2013-02-01,13.44,False
1,2013-02-02,10.29,False
2,2013-02-03,5.04,False
3,2013-02-04,8.61,False
4,2013-02-05,6.3,False
5,2013-02-06,10.709999999999999,False
6,2013-02-07,4.41,False
7,2013-02-08,4.41,False
8,2013-02-09,10.29,False
9,2013-02-10,5.04,False
10,2013-02-11,8.61,False
11,2013-02-12,6.51,False
12,2013-02-13,8.61,False
13,2013-02-14,0.0,False
14,2013-02-15,13.65,False
15,2013-02-16,5.04,False
16,2013-02-17,5.04,False
17,2013-02-18,6.3,False
18,2013-02-19,12.6,False
19,2013-02-20,8.4,False
20,2013-02-21,6.3,False
21,2013-02-22,13.229999999999999,False
22,2013-02-23,9.87,False
23,2013-02-24,4.83,False
24,2013-02-25,8.19,False
25,2013-02-26,12.6,False
26,2013-02-27,21.0,False
27,2013-02-28,17.009999999999998,False
0,2013-03-01,2.99,False
1,2013-03-02,3.22,False
2,2013-03-03,3.22,False
3,2013-03-04,8.280000000000001,False
4,2013-03-05,5.5200000000000005,False
5,2013-03-06,6.9,False
6,2013-03-07,11.040000000000001,False
7,2013-03-08,23.0,False
8,2013-03-09,3.22,False
9,2013-03-10,3.22,False
10,2013-03-11,8.05,False
11,2013-03-12,11.96,False
12,2013-03-13,5.29,False
13,2013-03-14,6.9,False
