"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2018","189.26","190.72","190.88","188.61","4.62M","0.75%"
"Nov 28, 2018","187.85","185.97","188.05","184.72","3.28M","1.74%"
"Nov 27, 2018","184.63","183.33","184.64","183.19","2.19M","0.40%"
"Nov 26, 2018","183.89","182.40","184.09","182.07","3.84M","1.08%"
"Nov 23, 2018","181.93","182.52","183.00","181.07","1.75M","-0.43%"
"Nov 21, 2018","182.72","183.21","185.57","182.70","3.41M","-0.54%"
"Nov 20, 2018","183.71","185.67","186.63","183.03","3.71M","-1.61%"
"Nov 19, 2018","186.72","187.74","188.90","185.79","3.75M","-0.46%"
"Nov 16, 2018","187.59","183.50","187.77","183.42","3.76M","2.20%"
"Nov 15, 2018","183.56","182.97","183.98","181.52","3.35M","-0.16%"
"Nov 14, 2018","183.85","184.22","185.09","183.36","3.41M","-0.09%"
"Nov 13, 2018","184.01","183.94","184.92","183.32","2.36M","-0.20%"
"Nov 12, 2018","184.37","185.95","187.42","183.78","3.08M","-0.84%"
"Nov 09, 2018","185.94","186.00","186.58","185.07","3.24M","0.25%"
"Nov 08, 2018","185.48","184.29","186.04","184.08","3.32M","0.67%"
"Nov 07, 2018","184.25","183.00","184.48","181.88","4.36M","0.84%"
"Nov 06, 2018","182.71","180.03","182.86","179.49","4.86M","1.29%"
"Nov 05, 2018","180.39","177.41","181.10","177.00","4.75M","2.06%"
"Nov 02, 2018","176.75","176.45","176.99","174.00","4.19M","1.07%"
"Nov 01, 2018","174.88","176.67","177.35","174.70","3.70M","-1.14%"
"Oct 31, 2018","176.90","178.81","178.96","176.37","5.42M","-0.89%"
"Oct 30, 2018","178.49","173.51","178.59","173.44","5.58M","3.04%"
"Oct 29, 2018","173.23","175.00","176.16","172.22","3.49M","-0.06%"
"Oct 26, 2018","173.34","174.60","174.93","172.60","4.74M","-1.12%"
"Oct 25, 2018","175.31","177.56","178.27","174.60","4.65M","-1.15%"
"Oct 24, 2018","177.35","176.13","178.00","174.43","7.87M","0.11%"
"Oct 23, 2018","177.15","171.20","177.87","170.50","12.92M","6.31%"
"Oct 22, 2018","166.63","167.98","169.81","166.19","5.70M","-0.51%"
"Oct 19, 2018","167.49","166.39","168.15","166.30","3.51M","0.41%"
"Oct 18, 2018","166.81","166.64","167.99","165.77","3.38M","0.02%"
"Oct 17, 2018","166.77","164.47","167.73","164.11","3.61M","1.65%"
"Oct 16, 2018","164.07","163.44","164.46","162.90","4.09M","0.24%"
"Oct 15, 2018","163.67","164.69","165.47","163.64","4.27M","-0.09%"
"Oct 12, 2018","163.82","163.93","164.96","161.86","3.45M","0.52%"
"Oct 11, 2018","162.97","166.41","167.67","161.82","5.43M","-3.21%"
"Oct 10, 2018","168.37","171.99","172.00","168.22","4.19M","-0.86%"
"Oct 09, 2018","169.83","168.16","170.56","167.81","4.16M","1.23%"
"Oct 08, 2018","167.77","166.25","168.17","166.12","2.56M","0.72%"
"Oct 05, 2018","166.57","166.24","167.49","165.79","2.82M","0.46%"
"Oct 04, 2018","165.80","164.89","166.07","164.50","3.23M","0.69%"
"Oct 03, 2018","164.66","166.10","167.60","164.37","3.83M","-0.31%"
"Oct 02, 2018","165.18","166.35","167.04","165.18","3.07M","-0.89%"
"Oct 01, 2018","166.67","168.37","168.95","166.66","3.13M","-0.37%"
"Sep 28, 2018","167.29","166.74","167.83","166.51","3.39M","0.46%"
"Sep 27, 2018","166.53","165.62","167.27","165.30","2.39M","0.46%"
"Sep 26, 2018","165.76","166.40","167.51","165.55","3.09M","-0.39%"
"Sep 25, 2018","166.41","164.59","167.18","164.07","5.28M","1.90%"
"Sep 24, 2018","163.31","163.90","164.08","161.12","4.38M","-1.20%"
"Sep 21, 2018","165.30","162.71","165.30","162.51","8.81M","2.80%"
"Sep 20, 2018","160.79","160.21","161.05","159.37","3.22M","1.01%"
"Sep 19, 2018","159.18","158.71","159.49","157.72","2.82M","0.89%"
"Sep 18, 2018","157.77","158.17","159.08","157.58","3.72M","-0.23%"
"Sep 17, 2018","158.14","159.55","159.82","156.56","5.36M","-1.68%"
"Sep 14, 2018","160.84","163.00","163.11","160.25","3.94M","-0.96%"
"Sep 13, 2018","162.40","165.45","165.46","161.70","3.66M","-1.42%"
"Sep 12, 2018","164.74","164.32","165.42","163.74","2.61M","0.07%"
"Sep 11, 2018","164.62","164.88","165.93","164.20","2.95M","-0.27%"
"Sep 10, 2018","165.07","164.48","166.02","164.24","3.08M","0.71%"
"Sep 07, 2018","163.90","163.58","164.20","163.14","2.87M","0.10%"
"Sep 06, 2018","163.74","163.04","164.30","162.70","3.13M","0.31%"
"Sep 05, 2018","163.24","161.60","163.40","161.19","2.75M","0.94%"
"Sep 04, 2018","161.72","161.81","161.98","160.07","3.30M","-0.31%"
"Aug 31, 2018","162.23","161.53","162.91","161.53","3.65M","-0.35%"
"Aug 30, 2018","162.80","163.03","163.29","162.37","3.04M","-0.19%"
"Aug 29, 2018","163.11","161.92","163.34","161.69","3.17M","0.91%"
"Aug 28, 2018","161.64","160.55","161.67","160.16","2.14M","0.72%"
"Aug 27, 2018","160.48","160.23","160.52","159.20","2.63M","0.69%"
"Aug 24, 2018","159.38","158.74","159.86","158.30","2.20M","0.21%"
"Aug 23, 2018","159.05","160.56","160.79","158.37","2.76M","-0.93%"
"Aug 22, 2018","160.55","161.41","161.51","160.08","2.36M","-0.30%"
"Aug 21, 2018","161.04","161.46","161.95","161.02","1.92M","-0.40%"
"Aug 20, 2018","161.68","161.29","162.16","161.10","2.66M","0.33%"
"Aug 17, 2018","161.15","161.90","161.90","160.24","2.53M","-0.36%"
"Aug 16, 2018","161.73","160.15","162.28","160.15","2.82M","1.16%"
"Aug 15, 2018","159.88","159.81","160.46","158.37","3.36M","-0.45%"
"Aug 14, 2018","160.60","158.35","161.43","158.19","3.11M","1.56%"
"Aug 13, 2018","158.14","158.48","158.99","157.25","2.88M","-0.34%"
"Aug 10, 2018","158.68","158.34","159.51","157.87","3.34M","-0.39%"
"Aug 09, 2018","159.30","158.84","159.62","157.96","2.76M","0.24%"
