,date,INTC stock,isPartial
27,2012-09-28,4.2299999999999995,False
28,2012-09-29,1.6199999999999999,False
29,2012-09-30,1.53,False
0,2012-10-01,1.21,False
1,2012-10-02,0.0,False
2,2012-10-03,2.31,False
3,2012-10-04,2.31,False
4,2012-10-05,2.31,False
5,2012-10-06,1.32,False
6,2012-10-07,0.0,False
7,2012-10-08,1.1,False
8,2012-10-09,1.1,False
9,2012-10-10,1.1,False
10,2012-10-11,3.41,False
11,2012-10-12,4.73,False
12,2012-10-13,2.75,False
13,2012-10-14,1.32,False
14,2012-10-15,1.1,False
15,2012-10-16,11.0,False
16,2012-10-17,6.71,False
17,2012-10-18,4.51,False
18,2012-10-19,2.31,False
19,2012-10-20,1.32,False
20,2012-10-21,2.64,False
21,2012-10-22,3.3,False
22,2012-10-23,3.3,False
23,2012-10-24,2.2,False
24,2012-10-25,1.1,False
25,2012-10-26,2.42,False
26,2012-10-27,2.75,False
27,2012-10-28,1.32,False
28,2012-10-29,0.0,False
29,2012-10-30,0.0,False
30,2012-10-31,1.1,False
0,2012-11-01,5.64,False
1,2012-11-02,4.56,False
2,2012-11-03,0.0,False
3,2012-11-04,0.0,False
4,2012-11-05,4.08,False
5,2012-11-06,8.28,False
6,2012-11-07,8.16,False
7,2012-11-08,7.4399999999999995,False
8,2012-11-09,3.36,False
9,2012-11-10,0.0,False
10,2012-11-11,2.4,False
11,2012-11-12,3.12,False
12,2012-11-13,3.12,False
13,2012-11-14,5.279999999999999,False
14,2012-11-15,2.16,False
15,2012-11-16,12.0,False
16,2012-11-17,2.52,False
17,2012-11-18,2.4,False
18,2012-11-19,9.24,False
19,2012-11-20,5.16,False
20,2012-11-21,5.279999999999999,False
21,2012-11-22,6.6,False
22,2012-11-23,4.4399999999999995,False
23,2012-11-24,2.52,False
24,2012-11-25,0.0,False
25,2012-11-26,6.12,False
26,2012-11-27,5.04,False
27,2012-11-28,6.12,False
28,2012-11-29,7.199999999999999,False
29,2012-11-30,7.56,False
0,2012-12-01,0.0,False
1,2012-12-02,0.0,False
2,2012-12-03,6.4,False
3,2012-12-04,1.3,False
4,2012-12-05,6.4,False
5,2012-12-06,5.300000000000001,False
6,2012-12-07,5.4,False
7,2012-12-08,0.0,False
8,2012-12-09,0.0,False
9,2012-12-10,0.0,False
10,2012-12-11,5.1000000000000005,False
