,date,AMZN stock,isPartial
11,2012-11-12,0.98,False
12,2012-11-13,1.36,False
13,2012-11-14,0.98,False
14,2012-11-15,2.0,False
15,2012-11-16,0.8200000000000001,False
16,2012-11-17,0.46,False
17,2012-11-18,0.0,False
18,2012-11-19,0.96,False
19,2012-11-20,1.72,False
20,2012-11-21,0.4,False
21,2012-11-22,0.8,False
22,2012-11-23,0.42,False
23,2012-11-24,0.92,False
24,2012-11-25,0.0,False
25,2012-11-26,1.32,False
26,2012-11-27,1.7,False
27,2012-11-28,0.76,False
28,2012-11-29,0.96,False
29,2012-11-30,1.4000000000000001,False
0,2012-12-01,0.26,False
1,2012-12-02,0.26,False
2,2012-12-03,2.0,False
3,2012-12-04,0.44,False
4,2012-12-05,0.22,False
5,2012-12-06,0.46,False
6,2012-12-07,0.9400000000000001,False
7,2012-12-08,0.0,False
8,2012-12-09,0.26,False
9,2012-12-10,0.22,False
10,2012-12-11,0.66,False
11,2012-12-12,0.9,False
12,2012-12-13,0.22,False
13,2012-12-14,0.0,False
14,2012-12-15,0.0,False
15,2012-12-16,0.26,False
16,2012-12-17,0.68,False
17,2012-12-18,0.9,False
18,2012-12-19,0.0,False
19,2012-12-20,1.16,False
20,2012-12-21,0.0,False
21,2012-12-22,0.56,False
22,2012-12-23,0.3,False
23,2012-12-24,1.1400000000000001,False
24,2012-12-25,0.3,False
25,2012-12-26,0.26,False
26,2012-12-27,0.96,False
27,2012-12-28,0.24,False
28,2012-12-29,0.8200000000000001,False
29,2012-12-30,0.0,False
30,2012-12-31,0.28,False
0,2013-01-01,0.3,False
1,2013-01-02,0.87,False
2,2013-01-03,0.72,False
3,2013-01-04,0.6,False
4,2013-01-05,0.54,False
5,2013-01-06,0.0,False
6,2013-01-07,1.05,False
7,2013-01-08,0.8099999999999999,False
8,2013-01-09,0.69,False
9,2013-01-10,0.9299999999999999,False
10,2013-01-11,0.96,False
11,2013-01-12,0.39,False
12,2013-01-13,0.27,False
13,2013-01-14,0.44999999999999996,False
14,2013-01-15,1.1099999999999999,False
15,2013-01-16,0.69,False
16,2013-01-17,0.8999999999999999,False
17,2013-01-18,0.48,False
18,2013-01-19,0.27,False
19,2013-01-20,0.0,False
20,2013-01-21,0.8999999999999999,False
21,2013-01-22,0.32999999999999996,False
22,2013-01-23,0.32999999999999996,False
23,2013-01-24,0.32999999999999996,False
24,2013-01-25,1.05,False
25,2013-01-26,0.39,False
26,2013-01-27,0.0,False
27,2013-01-28,0.99,False
28,2013-01-29,2.76,False
29,2013-01-30,3.0,False
30,2013-01-31,1.7999999999999998,False
0,2013-02-01,3.0,False
1,2013-02-02,0.8099999999999999,False
2,2013-02-03,0.39,False
3,2013-02-04,1.5,False
4,2013-02-05,0.99,False
5,2013-02-06,1.3499999999999999,False
6,2013-02-07,2.07,False
7,2013-02-08,1.41,False
8,2013-02-09,0.42,False
9,2013-02-10,0.39,False
10,2013-02-11,1.38,False
11,2013-02-12,1.38,False
12,2013-02-13,1.02,False
13,2013-02-14,0.69,False
14,2013-02-15,0.72,False
15,2013-02-16,0.78,False
16,2013-02-17,0.39,False
17,2013-02-18,0.51,False
18,2013-02-19,0.84,False
19,2013-02-20,0.84,False
20,2013-02-21,0.99,False
21,2013-02-22,0.51,False
22,2013-02-23,0.0,False
23,2013-02-24,0.0,False
24,2013-02-25,1.92,False
25,2013-02-26,1.3199999999999998,False
26,2013-02-27,1.7999999999999998,False
27,2013-02-28,1.3499999999999999,False
0,2013-03-01,0.68,False
1,2013-03-02,0.0,False
2,2013-03-03,1.04,False
3,2013-03-04,0.44,False
4,2013-03-05,1.3,False
5,2013-03-06,1.3,False
6,2013-03-07,1.54,False
7,2013-03-08,1.82,False
8,2013-03-09,0.5,False
9,2013-03-10,0.5,False
10,2013-03-11,0.64,False
11,2013-03-12,0.42,False
12,2013-03-13,0.64,False
13,2013-03-14,0.86,False
14,2013-03-15,2.0,False
15,2013-03-16,0.5,False
16,2013-03-17,0.5,False
17,2013-03-18,1.28,False
18,2013-03-19,1.48,False
19,2013-03-20,1.08,False
20,2013-03-21,1.3,False
21,2013-03-22,1.56,False
22,2013-03-23,0.5,False
23,2013-03-24,1.52,False
24,2013-03-25,0.86,False
25,2013-03-26,0.42,False
26,2013-03-27,0.44,False
27,2013-03-28,0.92,False
28,2013-03-29,1.24,False
29,2013-03-30,0.54,False
30,2013-03-31,0.0,False
0,2013-04-01,0.54,False
1,2013-04-02,0.72,False
2,2013-04-03,0.84,False
3,2013-04-04,0.3,False
4,2013-04-05,0.54,False
5,2013-04-06,0.24,False
6,2013-04-07,0.24,False
7,2013-04-08,0.21,False
8,2013-04-09,0.21,False
9,2013-04-10,0.42,False
10,2013-04-11,0.42,False
11,2013-04-12,0.75,False
12,2013-04-13,0.51,False
13,2013-04-14,0.51,False
14,2013-04-15,0.51,False
15,2013-04-16,0.3,False
16,2013-04-17,0.72,False
17,2013-04-18,0.3,False
18,2013-04-19,0.63,False
19,2013-04-20,0.36,False
20,2013-04-21,0.48,False
21,2013-04-22,0.42,False
22,2013-04-23,0.51,False
23,2013-04-24,0.51,False
24,2013-04-25,2.34,False
25,2013-04-26,3.0,False
26,2013-04-27,1.23,False
27,2013-04-28,0.48,False
28,2013-04-29,1.02,False
29,2013-04-30,1.05,False
0,2013-05-01,1.82,False
1,2013-05-02,1.52,False
2,2013-05-03,0.98,False
3,2013-05-04,0.9,False
4,2013-05-05,0.0,False
5,2013-05-06,1.12,False
6,2013-05-07,1.68,False
7,2013-05-08,1.32,False
8,2013-05-09,1.1400000000000001,False
9,2013-05-10,1.3800000000000001,False
10,2013-05-11,0.9,False
11,2013-05-12,0.0,False
12,2013-05-13,0.74,False
13,2013-05-14,1.8,False
14,2013-05-15,0.92,False
15,2013-05-16,1.68,False
16,2013-05-17,1.16,False
17,2013-05-18,0.44,False
18,2013-05-19,0.44,False
19,2013-05-20,0.92,False
20,2013-05-21,1.26,False
21,2013-05-22,2.0,False
22,2013-05-23,1.6600000000000001,False
23,2013-05-24,1.34,False
24,2013-05-25,0.44,False
25,2013-05-26,0.44,False
26,2013-05-27,1.32,False
27,2013-05-28,1.44,False
28,2013-05-29,0.72,False
29,2013-05-30,0.9400000000000001,False
30,2013-05-31,1.54,False
0,2013-06-01,0.38,False
1,2013-06-02,0.38,False
2,2013-06-03,1.86,False
3,2013-06-04,0.32,False
4,2013-06-05,0.32,False
5,2013-06-06,0.96,False
6,2013-06-07,1.96,False
7,2013-06-08,1.1400000000000001,False
8,2013-06-09,0.38,False
9,2013-06-10,1.54,False
10,2013-06-11,1.22,False
11,2013-06-12,0.9400000000000001,False
12,2013-06-13,0.62,False
13,2013-06-14,2.0,False
14,2013-06-15,0.38,False
15,2013-06-16,0.38,False
16,2013-06-17,0.0,False
17,2013-06-18,1.26,False
18,2013-06-19,0.9400000000000001,False
19,2013-06-20,0.96,False
20,2013-06-21,1.34,False
21,2013-06-22,0.0,False
22,2013-06-23,0.76,False
23,2013-06-24,1.56,False
24,2013-06-25,0.62,False
25,2013-06-26,0.9400000000000001,False
26,2013-06-27,1.9000000000000001,False
27,2013-06-28,0.68,False
28,2013-06-29,0.0,False
29,2013-06-30,0.0,False
0,2013-07-01,0.92,False
1,2013-07-02,0.52,False
2,2013-07-03,0.8,False
3,2013-07-04,0.44,False
4,2013-07-05,0.6,False
5,2013-07-06,0.52,False
6,2013-07-07,0.36,False
