,date,HD stock,isPartial
4,2013-01-05,20.14,False
5,2013-01-06,20.14,False
6,2013-01-07,34.58,False
7,2013-01-08,37.24,False
8,2013-01-09,30.78,False
9,2013-01-10,24.7,False
10,2013-01-11,25.84,False
11,2013-01-12,11.02,False
12,2013-01-13,14.44,False
13,2013-01-14,16.72,False
14,2013-01-15,17.86,False
15,2013-01-16,16.72,False
16,2013-01-17,30.78,False
17,2013-01-18,38.0,False
18,2013-01-19,25.080000000000002,False
19,2013-01-20,23.18,False
20,2013-01-21,13.3,False
21,2013-01-22,31.16,False
22,2013-01-23,28.88,False
23,2013-01-24,31.92,False
24,2013-01-25,28.5,False
25,2013-01-26,23.56,False
26,2013-01-27,19.38,False
27,2013-01-28,14.82,False
28,2013-01-29,22.42,False
29,2013-01-30,23.94,False
30,2013-01-31,36.480000000000004,False
0,2013-02-01,28.900000000000002,False
1,2013-02-02,26.520000000000003,False
2,2013-02-03,17.34,False
3,2013-02-04,7.48,False
4,2013-02-05,14.620000000000001,False
5,2013-02-06,29.580000000000002,False
6,2013-02-07,15.3,False
7,2013-02-08,28.560000000000002,False
8,2013-02-09,11.9,False
9,2013-02-10,23.8,False
10,2013-02-11,27.540000000000003,False
11,2013-02-12,25.500000000000004,False
12,2013-02-13,17.34,False
13,2013-02-14,17.68,False
14,2013-02-15,7.82,False
15,2013-02-16,26.520000000000003,False
16,2013-02-17,20.400000000000002,False
17,2013-02-18,32.300000000000004,False
18,2013-02-19,9.860000000000001,False
19,2013-02-20,17.0,False
20,2013-02-21,14.96,False
21,2013-02-22,20.400000000000002,False
22,2013-02-23,23.12,False
23,2013-02-24,14.280000000000001,False
24,2013-02-25,21.42,False
25,2013-02-26,24.14,False
26,2013-02-27,34.0,False
27,2013-02-28,24.48,False
0,2013-03-01,31.68,False
1,2013-03-02,25.96,False
2,2013-03-03,28.16,False
3,2013-03-04,23.76,False
4,2013-03-05,42.24,False
5,2013-03-06,35.2,False
6,2013-03-07,36.08,False
7,2013-03-08,44.0,False
8,2013-03-09,25.96,False
9,2013-03-10,15.84,False
10,2013-03-11,34.76,False
11,2013-03-12,37.84,False
12,2013-03-13,33.0,False
13,2013-03-14,28.6,False
14,2013-03-15,29.48,False
15,2013-03-16,23.76,False
16,2013-03-17,34.76,False
17,2013-03-18,31.24,False
18,2013-03-19,24.64,False
19,2013-03-20,28.6,False
20,2013-03-21,33.88,False
21,2013-03-22,36.52,False
22,2013-03-23,27.72,False
23,2013-03-24,21.56,False
24,2013-03-25,31.68,False
25,2013-03-26,26.84,False
26,2013-03-27,33.0,False
27,2013-03-28,21.56,False
28,2013-03-29,19.36,False
29,2013-03-30,12.32,False
30,2013-03-31,21.12,False
0,2013-04-01,22.94,False
1,2013-04-02,27.009999999999998,False
2,2013-04-03,21.83,False
3,2013-04-04,24.05,False
4,2013-04-05,17.39,False
5,2013-04-06,30.34,False
6,2013-04-07,19.98,False
7,2013-04-08,21.46,False
8,2013-04-09,26.64,False
9,2013-04-10,35.15,False
10,2013-04-11,30.34,False
11,2013-04-12,35.519999999999996,False
12,2013-04-13,37.0,False
13,2013-04-14,22.2,False
14,2013-04-15,11.84,False
15,2013-04-16,18.5,False
16,2013-04-17,25.53,False
17,2013-04-18,35.89,False
18,2013-04-19,21.09,False
19,2013-04-20,28.49,False
20,2013-04-21,18.13,False
21,2013-04-22,37.0,False
22,2013-04-23,33.67,False
23,2013-04-24,35.519999999999996,False
24,2013-04-25,33.3,False
25,2013-04-26,33.67,False
26,2013-04-27,32.56,False
27,2013-04-28,12.209999999999999,False
28,2013-04-29,35.519999999999996,False
29,2013-04-30,13.69,False
0,2013-05-01,28.470000000000002,False
1,2013-05-02,19.5,False
2,2013-05-03,30.810000000000002,False
3,2013-05-04,13.26,False
4,2013-05-05,10.14,False
5,2013-05-06,24.96,False
6,2013-05-07,21.84,False
7,2013-05-08,21.060000000000002,False
8,2013-05-09,22.62,False
9,2013-05-10,32.370000000000005,False
10,2013-05-11,16.77,False
11,2013-05-12,18.330000000000002,False
12,2013-05-13,24.57,False
13,2013-05-14,26.91,False
14,2013-05-15,28.470000000000002,False
15,2013-05-16,24.96,False
16,2013-05-17,39.0,False
17,2013-05-18,21.45,False
18,2013-05-19,24.57,False
19,2013-05-20,28.86,False
20,2013-05-21,36.27,False
21,2013-05-22,31.200000000000003,False
22,2013-05-23,34.32,False
23,2013-05-24,23.01,False
24,2013-05-25,18.330000000000002,False
25,2013-05-26,19.89,False
26,2013-05-27,23.79,False
27,2013-05-28,34.71,False
28,2013-05-29,26.91,False
29,2013-05-30,20.67,False
30,2013-05-31,37.44,False
0,2013-06-01,29.24,False
1,2013-06-02,22.36,False
2,2013-06-03,25.37,False
3,2013-06-04,27.09,False
4,2013-06-05,22.79,False
5,2013-06-06,24.509999999999998,False
6,2013-06-07,21.93,False
7,2013-06-08,17.2,False
8,2013-06-09,25.8,False
9,2013-06-10,27.95,False
10,2013-06-11,27.95,False
11,2013-06-12,35.69,False
12,2013-06-13,17.2,False
13,2013-06-14,28.81,False
14,2013-06-15,15.91,False
15,2013-06-16,12.04,False
16,2013-06-17,24.08,False
17,2013-06-18,19.78,False
18,2013-06-19,22.79,False
19,2013-06-20,24.509999999999998,False
20,2013-06-21,27.52,False
21,2013-06-22,22.79,False
22,2013-06-23,24.08,False
23,2013-06-24,15.48,False
24,2013-06-25,18.49,False
25,2013-06-26,43.0,False
26,2013-06-27,37.41,False
27,2013-06-28,21.5,False
28,2013-06-29,30.53,False
29,2013-06-30,19.35,False
0,2013-07-01,32.76,False
1,2013-07-02,24.84,False
2,2013-07-03,20.88,False
3,2013-07-04,13.32,False
4,2013-07-05,13.68,False
5,2013-07-06,28.08,False
6,2013-07-07,15.479999999999999,False
7,2013-07-08,15.12,False
8,2013-07-09,24.84,False
9,2013-07-10,22.32,False
10,2013-07-11,29.52,False
11,2013-07-12,29.52,False
12,2013-07-13,29.16,False
13,2013-07-14,18.72,False
14,2013-07-15,29.16,False
15,2013-07-16,33.12,False
16,2013-07-17,33.839999999999996,False
17,2013-07-18,25.2,False
18,2013-07-19,26.279999999999998,False
19,2013-07-20,24.119999999999997,False
20,2013-07-21,13.68,False
21,2013-07-22,20.88,False
22,2013-07-23,28.799999999999997,False
23,2013-07-24,26.64,False
24,2013-07-25,25.56,False
25,2013-07-26,27.72,False
26,2013-07-27,18.72,False
27,2013-07-28,30.599999999999998,False
28,2013-07-29,20.52,False
29,2013-07-30,28.439999999999998,False
30,2013-07-31,36.0,False
0,2013-08-01,19.78,False
1,2013-08-02,12.04,False
2,2013-08-03,9.89,False
3,2013-08-04,12.47,False
4,2013-08-05,15.049999999999999,False
5,2013-08-06,16.34,False
6,2013-08-07,16.34,False
7,2013-08-08,25.37,False
8,2013-08-09,17.2,False
9,2013-08-10,8.6,False
10,2013-08-11,14.62,False
11,2013-08-12,21.5,False
12,2013-08-13,16.34,False
13,2013-08-14,22.79,False
14,2013-08-15,20.21,False
15,2013-08-16,14.19,False
16,2013-08-17,11.18,False
17,2013-08-18,9.89,False
18,2013-08-19,33.11,False
19,2013-08-20,43.0,False
20,2013-08-21,24.08,False
21,2013-08-22,21.5,False
22,2013-08-23,22.36,False
23,2013-08-24,18.06,False
24,2013-08-25,6.02,False
25,2013-08-26,19.35,False
26,2013-08-27,22.36,False
27,2013-08-28,15.48,False
28,2013-08-29,18.06,False
29,2013-08-30,12.47,False
30,2013-08-31,15.48,False
0,2013-09-01,22.57,False
1,2013-09-02,26.64,False
